Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,3.9999999999999996e-05,0.10390888235195536,0.197696590547927,4.998130321501617,1.3995326064846263,0.12327244456992117,"[0.49043979 0.50362247 0.50016617 0.49954581 0.5010524  0.50517337
 0.50601529 0.50601529 0.50641409 0.50492966]","[0.48859985 0.48928845 0.47299158 0.47123183 0.46794185 0.47069625
 0.46044376 0.45983168 0.4716909  0.4689365 ]",0.0,"[0.49708589 0.5154908  0.51211656 0.5190184  0.51119632 0.52699387
 0.53404908 0.54279141 0.54309816 0.54647239]",0.0
2,3.9999999999999996e-05,0.09390007473334043,0.18569548806944072,4.985580334332043,1.3908634309000645,0.12417122048565259,"[0.49513681 0.51135482 0.51591891 0.5156752  0.51321591 0.51576382
 0.51696023 0.5179794  0.51514346 0.51611831]","[0.48814078 0.48959449 0.48079572 0.47153787 0.46396327 0.46863045
 0.46587605 0.46725325 0.46633512 0.46105585]",0.0,"[0.5047546  0.51671779 0.51472393 0.525      0.5309816  0.5357362
 0.54785276 0.55306748 0.5493865  0.5547546 ]",0.0
3,1.9999999999999998e-05,0.09114892896485566,0.17826750870841196,4.372870594898351,1.323031306828286,0.11870926256646426,"[0.49724161 0.51489975 0.51545364 0.51352609 0.51323806 0.51301651
 0.51738119 0.52006204 0.5181788  0.51855544]","[0.493114   0.49188982 0.48148432 0.47352716 0.47589901 0.47712318
 0.47620505 0.47322112 0.47230298 0.4703137 ]",0.0,"[0.4940184  0.51119632 0.52300613 0.53358896 0.53819018 0.55015337
 0.5607362  0.55628834 0.56871166 0.56625767]",0.0
4,9.999999999999999e-06,0.0899439995466793,0.18280703572731713,4.379096747274328,1.324851621984837,0.1176612879712186,"[0.49575717 0.51168716 0.51084524 0.50978177 0.51301651 0.51257339
 0.51653927 0.51727041 0.51888778 0.5176249 ]","[0.4993114  0.4938026  0.48859985 0.47758225 0.47880643 0.47651109
 0.47276205 0.47115532 0.47482785 0.47245601]",0.0,"[0.50245399 0.51625767 0.5208589  0.53757669 0.54064417 0.5559816
 0.56457055 0.55904908 0.55736196 0.55490798]",0.0
5,4.9999999999999996e-06,0.08939704349122628,0.22653131328695997,4.883252855552296,1.4041641058857028,0.119195558128069,"[0.49826077 0.51514346 0.51489975 0.51343747 0.51108896 0.51259555
 0.51631771 0.5218345  0.5210812  0.5229866 ]","[0.50283091 0.49211936 0.48837031 0.48064269 0.47398623 0.48263198
 0.479342   0.48722265 0.49097169 0.4882938 ]",0.0,"[0.50368098 0.51441718 0.51319018 0.52101227 0.52760736 0.52868098
 0.53665644 0.52254601 0.51794479 0.52101227]",0.0
6,2.4999999999999998e-06,0.08969789258737189,0.28271505465778163,5.650263885024966,1.5217829739543813,0.12241636904408298,"[0.49343082 0.51111111 0.51197519 0.50987039 0.5114656  0.51022488
 0.51749197 0.52099258 0.51904287 0.51354824]","[0.50535578 0.5020658  0.49319051 0.49364958 0.48599847 0.49227238
 0.48852334 0.49265493 0.49150727 0.48997705]",0.0,"[0.49447853 0.49739264 0.50506135 0.50352761 0.51150307 0.51733129
 0.52147239 0.5041411  0.49953988 0.50046012]",0.0
7,1.2499999999999999e-06,0.08979306490091539,0.27032417498037586,5.367397405147847,1.486583257441045,0.1213390479432939,"[0.49597873 0.50632547 0.50608175 0.50506259 0.50211587 0.50893985
 0.51197519 0.51501052 0.51529855 0.51385842]","[0.50436113 0.50191278 0.4944912  0.49594491 0.48699311 0.49625096
 0.49273145 0.49892884 0.49686305 0.49441469]",0.0,"[0.49233129 0.49892638 0.50552147 0.50153374 0.51196319 0.52116564
 0.52300613 0.50690184 0.50306748 0.5053681 ]",0.0
8,6.249999999999999e-07,0.09010867688745307,0.23346143388607185,4.742833741948708,1.3903558097203286,0.11839307344560643,"[0.49274399 0.50630331 0.50694583 0.50342306 0.50473025 0.5081644
 0.51232968 0.51656143 0.51339315 0.51095602]","[0.50749809 0.50451415 0.4958684  0.49785769 0.48561591 0.49686305
 0.49181331 0.49839327 0.5        0.49854629]",0.0,"[0.50092025 0.50015337 0.50736196 0.51196319 0.52269939 0.52699387
 0.53128834 0.52469325 0.51763804 0.51595092]",0.0
9,3.1249999999999997e-07,0.08970684372568069,0.21605770177285735,4.453909355423663,1.3426554986146046,0.11690445976686688,"[0.49407334 0.50714523 0.50442007 0.50448654 0.50639194 0.5085632
 0.51536502 0.5178243  0.51698239 0.51115542]","[0.50612089 0.50351951 0.49609793 0.49540933 0.48584545 0.49625096
 0.49089518 0.49686305 0.49579189 0.49785769]",0.0,"[0.50199387 0.50352761 0.50904908 0.52070552 0.53144172 0.53819018
 0.53865031 0.53052147 0.53021472 0.52607362]",0.0
10,1.5624999999999999e-07,0.09005610655437697,0.20907762876256122,4.343547650489995,1.3238314504734459,0.11630439424659991,"[0.49305417 0.50749972 0.5097153  0.50597098 0.50477457 0.50807577
 0.51303866 0.51786862 0.51902072 0.51589675]","[0.50811018 0.50512624 0.49869931 0.49433818 0.486228   0.49732211
 0.4903596  0.49762816 0.49770467 0.49709258]",0.0,"[0.49723926 0.50567485 0.5107362  0.52377301 0.53358896 0.54340491
 0.54248466 0.53067485 0.5351227  0.53159509]",0.0
