Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,4.000000000000002e-06,0.11125474335631115,0.18283929208192248,3.585245366942083,1.192533601489174,0.11329100672902098,[0.49037972 0.49910329 0.49611425 0.49779697 0.49947969],[0.49648855 0.4970229  0.48175573 0.48908397 0.47160305],0.0,[0.49526718 0.51206107 0.50305344 0.50396947 0.51709924],0.0
2,4.000000000000002e-06,0.08733347665239873,0.13811991115399275,2.5818638808690926,1.0031056427357732,0.10616179768259118,[0.4916639  0.50616628 0.50820325 0.50481568 0.50592273],[0.49458015 0.49923664 0.49022901 0.47610687 0.48015267],0.0,[0.49801527 0.50183206 0.49709924 0.50656489 0.53083969],0.0
3,4.000000000000002e-06,0.0852186139415828,0.12553086452193216,2.3268514664676885,0.9446935978583024,0.10285524851678096,[0.49467508 0.51114801 0.51333998 0.50829182 0.51059449],[0.50145038 0.5021374  0.49114504 0.49389313 0.48389313],0.0,[0.5070229  0.49587786 0.5010687  0.50335878 0.52610687],0.0
4,4.000000000000002e-06,0.0844439942585286,0.13740494594018807,2.3598160090528557,0.9492895026694813,0.10240438743601091,[0.49850548 0.5104395  0.52015942 0.51668327 0.51194509],[0.51389313 0.50580153 0.50160305 0.51572519 0.49396947],0.0,[0.50061069 0.49908397 0.49755725 0.51541985 0.52748092],0.0
5,4.000000000000002e-06,0.08362124850087713,0.12642641246677838,2.182486646651012,0.9100090186797679,0.10074209325079529,[0.49961253 0.51229935 0.5168604  0.51874239 0.51573121],[0.51557252 0.51465649 0.50572519 0.51412214 0.51114504],0.0,[0.50259542 0.49984733 0.49770992 0.50152672 0.51419847],0.0
6,4.000000000000002e-06,0.08306781389044812,0.12665509108941866,2.1892024824069747,0.9148572294791549,0.10063480622657639,[0.4947415  0.51539909 0.52263921 0.5189638  0.51911879],[0.51557252 0.50625954 0.50725191 0.51290076 0.50091603],0.0,[0.4951145  0.50091603 0.50763359 0.50091603 0.51709924],0.0
7,4.000000000000002e-06,0.08283759579202232,0.12598970909034193,2.1368420592260438,0.9030132800141591,0.10021610593668519,[0.50091885 0.51708181 0.52224067 0.51765748 0.51956161],[0.51076336 0.51458015 0.50519084 0.51969466 0.50427481],0.0,[0.49969466 0.49938931 0.4978626  0.49938931 0.51725191],0.0
8,4.000000000000002e-06,0.08200042447301116,0.11928185145352889,2.1056059715516953,0.8959746230681576,0.0999382947376069,[0.49972324 0.51632902 0.52226281 0.52186428 0.52607107],[0.51198473 0.51748092 0.50198473 0.51977099 0.50687023],0.0,[0.50091603 0.50290076 0.50259542 0.5059542  0.49725191],0.0
9,4.000000000000002e-06,0.08177974101531053,0.12340807044689316,2.1433940733344503,0.9033273632485306,0.09978369345447717,[0.49919185 0.51993801 0.52277206 0.52445478 0.52485332],[0.51534351 0.52083969 0.50885496 0.52099237 0.50183206],0.0,[0.49450382 0.5010687  0.49312977 0.50167939 0.50366412],0.0
10,4.000000000000002e-06,0.08199632656928546,0.12483820963690043,2.1646037622822862,0.909297299745514,0.09973655113815294,[0.50218089 0.51887524 0.52162072 0.5232813  0.52618178],[0.51450382 0.51908397 0.50801527 0.51885496 0.50938931],0.0,[0.49099237 0.49343511 0.50259542 0.5021374  0.51022901],0.0
11,4.000000000000002e-06,0.08128467119454126,0.1198305020039503,2.1440013874564503,0.9046836422411512,0.09991917421202395,[0.50169379 0.51883095 0.52195284 0.52226281 0.52810805],[0.51366412 0.52748092 0.50427481 0.51557252 0.50381679],0.0,[0.48854962 0.4940458  0.50534351 0.5010687  0.50839695],0.0
12,4.000000000000002e-06,0.08101698036047172,0.11957381936076776,2.154185787616401,0.9117767909886528,0.10036918446492717,[0.49812908 0.52148788 0.52445478 0.52394553 0.53010074],[0.50519084 0.51229008 0.50022901 0.50709924 0.49793893],0.0,[0.48167939 0.49664122 0.50274809 0.50076336 0.51755725],0.0
13,4.000000000000002e-06,0.08076371127006611,0.11835878303475351,2.1481985962174166,0.9123683520173298,0.09975424791376981,[0.49936898 0.52153216 0.52677959 0.52689029 0.52897155],[0.51022901 0.51198473 0.50259542 0.50969466 0.4921374 ],0.0,[0.49129771 0.49694656 0.50839695 0.51648855 0.51282443],0.0
14,4.000000000000002e-06,0.08041991486028538,0.12155815282697036,2.251811813256424,0.9351435664877693,0.10036896737008036,[0.49930256 0.5214436  0.52412266 0.5237684  0.52666888],[0.49793893 0.51229008 0.49541985 0.50442748 0.49335878],0.0,[0.49496183 0.49435115 0.50503817 0.51267176 0.51526718],0.0
15,4.000000000000002e-06,0.0796571396677404,0.12348553170147886,2.1768812282355716,0.91737174796232,0.09847383566008781,[0.49901472 0.52305989 0.52385697 0.52458762 0.53041072],[0.51244275 0.50954198 0.50389313 0.51358779 0.49305344],0.0,[0.48335878 0.48351145 0.51007634 0.50183206 0.52366412],0.0
16,4.000000000000002e-06,0.07881015917764748,0.12635084270399227,2.265941344216,0.9338076222041011,0.09922899864898384,[0.50036533 0.51998229 0.52580538 0.52695671 0.53240341],[0.51671756 0.51854962 0.51       0.50969466 0.50549618],0.0,[0.48381679 0.4859542  0.49923664 0.5119084  0.51541985],0.0
17,4.000000000000002e-06,0.07863728446776827,0.12653595049992622,2.2157200595958826,0.9227335691601323,0.09897804499074163,[0.49961253 0.52299347 0.52410052 0.52622606 0.53054356],[0.50977099 0.52022901 0.51450382 0.51641221 0.49679389],0.0,[0.48534351 0.48549618 0.49160305 0.51465649 0.51877863],0.0
18,4.000000000000002e-06,0.07761706979469653,0.12971460363034065,2.3443598984955734,0.9491506525350891,0.09984616908913066,[0.50200376 0.52272778 0.5266246  0.52720027 0.53399756],[0.51068702 0.51648855 0.51335878 0.51099237 0.50519084],0.0,[0.47908397 0.48961832 0.49038168 0.5151145  0.52717557],0.0
