Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,3.9999999999999996e-05,0.033846661489995794,1.5484413615680144,15.160028165738497,2.7068653922452004,0.10964174798632763,"[0.48044118 0.48676471 0.48397059 0.48720588 0.48941176 0.4825
 0.49014706 0.49588235 0.48470588 0.49647059 0.47455882 0.48102941
 0.49102941 0.49147059 0.47573529 0.50147059 0.48014706 0.48426471
 0.48882353 0.48617647 0.48794118 0.48147059 0.48441176 0.48926471
 0.49044118 0.48161765 0.49382353 0.47764706 0.46838235 0.49808824
 0.49823529 0.50161765 0.49176471 0.49897059 0.49102941 0.48779412
 0.48220588 0.48705882 0.48720588 0.49691176]","[0.51479592 0.53010204 0.52704082 0.52602041 0.52397959 0.54438776
 0.53265306 0.52959184 0.53316327 0.53520408 0.54132653 0.54489796
 0.54642857 0.55714286 0.55357143 0.5622449  0.54897959 0.55306122
 0.56581633 0.5622449  0.55459184 0.56071429 0.56173469 0.56785714
 0.57346939 0.57142857 0.57142857 0.56734694 0.57295918 0.58061224
 0.58061224 0.5872449  0.59234694 0.5994898  0.60204082 0.60255102
 0.60612245 0.60714286 0.60714286 0.61071429]",0.21069727891156462,"[0.496875   0.515625   0.5        0.52916667 0.53333333 0.55625
 0.53125    0.54895833 0.54895833 0.51354167 0.52291667 0.52083333
 0.521875   0.52916667 0.51875    0.51145833 0.52916667 0.52395833
 0.525      0.528125   0.51979167 0.51770833 0.52291667 0.50625
 0.51041667 0.51041667 0.50416667 0.53125    0.52291667 0.51770833
 0.51979167 0.52604167 0.53125    0.546875   0.54583333 0.53958333
 0.54583333 0.5375     0.53333333 0.54270833]",0.1869791666666667
2,3.9999999999999996e-05,0.041786226471144265,1.8592515071407736,19.063657684717327,3.0570499143202086,0.12308603701447803,"[0.47294118 0.47985294 0.4825     0.48352941 0.48132353 0.48147059
 0.48367647 0.48455882 0.48794118 0.49088235 0.48485294 0.49
 0.49441176 0.49308824 0.49470588 0.49764706 0.49       0.48985294
 0.49632353 0.49117647 0.49867647 0.49573529 0.49102941 0.49867647
 0.49764706 0.49691176 0.49588235 0.49367647 0.49794118 0.49220588
 0.49661765 0.49602941 0.49558824 0.49808824 0.50455882 0.49764706
 0.51367647 0.50720588 0.50602941 0.50411765]","[0.51938776 0.53214286 0.53163265 0.53418367 0.5372449  0.55204082
 0.55969388 0.54132653 0.54795918 0.55612245 0.56734694 0.56938776
 0.56377551 0.58571429 0.60816327 0.58112245 0.58418367 0.59591837
 0.57397959 0.59132653 0.6        0.58469388 0.59591837 0.59234694
 0.59132653 0.59489796 0.6005102  0.59642857 0.60306122 0.60714286
 0.60867347 0.60459184 0.61479592 0.6127551  0.61989796 0.63367347
 0.62653061 0.62806122 0.63112245 0.62193878]",0.175578231292517,"[0.51145833 0.52395833 0.51041667 0.53020833 0.546875   0.55104167
 0.55208333 0.55833333 0.54791667 0.52291667 0.52395833 0.51458333
 0.521875   0.52708333 0.51458333 0.5125     0.5375     0.53333333
 0.53229167 0.53333333 0.51979167 0.525      0.51458333 0.51041667
 0.51145833 0.50833333 0.515625   0.528125   0.52708333 0.53125
 0.54270833 0.534375   0.54166667 0.55       0.55416667 0.5625
 0.565625   0.55       0.559375   0.55729167]",0.16083333333333336
3,3.9999999999999996e-05,0.03773324990064365,1.671223917073803,16.66420464826824,2.840879741295868,0.11465052598897292,"[0.4725     0.48294118 0.48367647 0.48205882 0.48632353 0.48617647
 0.48352941 0.48852941 0.48573529 0.49058824 0.49602941 0.49426471
 0.49294118 0.49426471 0.50161765 0.49544118 0.49132353 0.49544118
 0.49338235 0.5025     0.49808824 0.49955882 0.49455882 0.49588235
 0.49838235 0.49955882 0.49720588 0.49235294 0.49338235 0.49823529
 0.49558824 0.50367647 0.50529412 0.50588235 0.51088235 0.51455882
 0.51338235 0.50235294 0.51161765 0.51235294]","[0.51020408 0.52653061 0.52397959 0.52193878 0.53061224 0.53979592
 0.5372449  0.52908163 0.52653061 0.54897959 0.55204082 0.5505102
 0.55918367 0.55918367 0.55255102 0.56428571 0.55408163 0.55918367
 0.56938776 0.56479592 0.56530612 0.57346939 0.56632653 0.57908163
 0.58010204 0.58265306 0.59183673 0.57806122 0.58877551 0.59846939
 0.59693878 0.60357143 0.61071429 0.61173469 0.6127551  0.62091837
 0.61530612 0.62193878 0.62295918 0.62193878]",0.19532312925170067,"[0.48958333 0.49791667 0.49895833 0.51770833 0.534375   0.54583333
 0.540625   0.55       0.54583333 0.52916667 0.534375   0.52916667
 0.53125    0.528125   0.52291667 0.509375   0.53333333 0.52916667
 0.52604167 0.525      0.52604167 0.521875   0.51770833 0.5125
 0.5125     0.5125     0.51041667 0.53020833 0.52291667 0.52604167
 0.53541667 0.5375     0.5375     0.54479167 0.546875   0.55625
 0.55833333 0.55       0.55729167 0.55729167]",0.17913194444444444
4,2.7999999999999996e-05,0.04231012767130885,1.3315566976865132,14.096292539718275,2.649845004081726,0.10732564462671931,"[0.47588235 0.48161765 0.48176471 0.4875     0.49235294 0.48838235
 0.48970588 0.49338235 0.49426471 0.49558824 0.49720588 0.50220588
 0.50294118 0.50705882 0.50176471 0.50602941 0.50367647 0.50602941
 0.51176471 0.50558824 0.51632353 0.50911765 0.51382353 0.51838235
 0.51985294 0.51485294 0.51705882 0.51117647 0.51529412 0.52
 0.5175     0.52161765 0.52014706 0.51455882 0.51911765 0.52411765
 0.52632353 0.52058824 0.52485294 0.52514706]","[0.50816327 0.50204082 0.51581633 0.51377551 0.51938776 0.52295918
 0.52346939 0.52040816 0.53928571 0.5377551  0.53826531 0.54438776
 0.56377551 0.54183673 0.57295918 0.5755102  0.56734694 0.5377551
 0.56377551 0.56887755 0.5494898  0.59897959 0.58061224 0.56122449
 0.56887755 0.57091837 0.58673469 0.59081633 0.56020408 0.58877551
 0.60510204 0.61173469 0.59030612 0.61479592 0.61020408 0.63622449
 0.6127551  0.60714286 0.62397959 0.62142857]",0.20654761904761906,"[0.496875   0.48229167 0.49479167 0.52083333 0.53645833 0.53020833
 0.540625   0.54166667 0.54583333 0.51770833 0.51979167 0.540625
 0.53958333 0.528125   0.53229167 0.515625   0.52708333 0.51979167
 0.51979167 0.528125   0.52083333 0.53125    0.53125    0.50520833
 0.49166667 0.52395833 0.52083333 0.5375     0.51458333 0.53958333
 0.54791667 0.53958333 0.54375    0.54583333 0.56354167 0.55833333
 0.54583333 0.54479167 0.55416667 0.55520833]",0.20180555555555557
5,1.9599999999999995e-05,0.03489447306132447,0.34106291424056207,8.128423467934208,2.0058405256012874,0.08048833672394407,"[0.47647059 0.48235294 0.48       0.48470588 0.48794118 0.49691176
 0.48617647 0.48838235 0.49308824 0.49764706 0.49691176 0.49779412
 0.4875     0.50264706 0.50176471 0.5025     0.50117647 0.49882353
 0.50411765 0.49720588 0.495      0.49970588 0.49308824 0.48794118
 0.49882353 0.49544118 0.49897059 0.48426471 0.49279412 0.49882353
 0.50044118 0.49352941 0.49132353 0.49911765 0.49044118 0.49691176
 0.50191176 0.49220588 0.50132353 0.49514706]","[0.50255102 0.48010204 0.47755102 0.47193878 0.47346939 0.46326531
 0.50153061 0.4755102  0.47142857 0.48010204 0.46377551 0.50255102
 0.49234694 0.49336735 0.49591837 0.5122449  0.51122449 0.50612245
 0.52755102 0.51377551 0.5122449  0.55255102 0.54642857 0.5505102
 0.55306122 0.53826531 0.53826531 0.57142857 0.55306122 0.5505102
 0.58418367 0.56377551 0.56020408 0.58214286 0.58469388 0.58010204
 0.60357143 0.60663265 0.60867347 0.62653061]",0.2604591836734694,"[0.51041667 0.5        0.48229167 0.48958333 0.521875   0.53020833
 0.51145833 0.525      0.52395833 0.51458333 0.50520833 0.50625
 0.496875   0.5375     0.51979167 0.51458333 0.55       0.52604167
 0.5375     0.52916667 0.53020833 0.54895833 0.55208333 0.52291667
 0.52916667 0.546875   0.54895833 0.53854167 0.55625    0.54895833
 0.553125   0.57916667 0.56979167 0.54895833 0.575      0.56666667
 0.58333333 0.58333333 0.578125   0.58333333]",0.2856597222222222
6,1.3719999999999996e-05,0.024584280682266608,0.3012134093733039,8.089513746917019,1.9891672066355846,0.07922708604731882,"[0.48220588 0.48632353 0.4825     0.48132353 0.49779412 0.48441176
 0.48970588 0.50102941 0.49764706 0.50705882 0.50367647 0.50764706
 0.5075     0.51529412 0.51147059 0.505      0.50985294 0.50970588
 0.51573529 0.51676471 0.50955882 0.5175     0.52220588 0.5225
 0.51529412 0.51632353 0.51897059 0.52235294 0.50764706 0.51794118
 0.52044118 0.52617647 0.51294118 0.51867647 0.52455882 0.52117647
 0.52911765 0.53029412 0.52470588 0.53941176]","[0.48826531 0.48316327 0.46122449 0.46071429 0.45102041 0.45714286
 0.47653061 0.45969388 0.45153061 0.47193878 0.4627551  0.49591837
 0.48367347 0.49336735 0.49693878 0.51377551 0.50765306 0.49132653
 0.50561224 0.51377551 0.4994898  0.53010204 0.50255102 0.52040816
 0.54846939 0.53010204 0.53826531 0.5494898  0.53826531 0.54846939
 0.55714286 0.53826531 0.55459184 0.56887755 0.57244898 0.57704082
 0.5872449  0.60612245 0.58469388 0.59897959]",0.27229591836734696,"[0.50729167 0.50104167 0.515625   0.5        0.5375     0.54479167
 0.515625   0.521875   0.54375    0.53229167 0.515625   0.52291667
 0.528125   0.51666667 0.525      0.49791667 0.52291667 0.52291667
 0.51666667 0.51666667 0.5125     0.54791667 0.54583333 0.51145833
 0.509375   0.52083333 0.52083333 0.509375   0.521875   0.51145833
 0.53229167 0.51458333 0.51770833 0.509375   0.53125    0.52083333
 0.571875   0.57604167 0.53020833 0.56458333]",0.3089236111111111
7,9.603999999999996e-06,0.021983024629412953,0.2902409962262027,7.681744375674776,1.9224370607384005,0.07576452845194358,"[0.47588235 0.49117647 0.48632353 0.49147059 0.49470588 0.48411765
 0.485      0.49205882 0.4875     0.49558824 0.48294118 0.49735294
 0.48985294 0.49514706 0.49176471 0.48323529 0.49338235 0.47970588
 0.49191176 0.50132353 0.49485294 0.49852941 0.49529412 0.50397059
 0.51764706 0.4975     0.50191176 0.50205882 0.50676471 0.50411765
 0.50485294 0.5125     0.49602941 0.51       0.51676471 0.51279412
 0.51514706 0.52044118 0.51338235 0.51617647]","[0.48673469 0.48367347 0.48061224 0.45561224 0.46377551 0.45816327
 0.47295918 0.46887755 0.46989796 0.48520408 0.47397959 0.5005102
 0.48520408 0.50102041 0.50969388 0.53265306 0.51785714 0.51836735
 0.54132653 0.53010204 0.52602041 0.54132653 0.52857143 0.5505102
 0.55918367 0.53928571 0.55816327 0.57397959 0.55510204 0.56122449
 0.58520408 0.54387755 0.5622449  0.58112245 0.56938776 0.59336735
 0.6127551  0.62346939 0.60306122 0.60510204]",0.28658163265306125,"[0.50520833 0.49166667 0.48020833 0.48645833 0.51354167 0.53020833
 0.49479167 0.515625   0.50208333 0.50625    0.49270833 0.53645833
 0.51458333 0.509375   0.50625    0.49791667 0.52291667 0.50833333
 0.51666667 0.50729167 0.48645833 0.54583333 0.51979167 0.50729167
 0.50416667 0.52291667 0.51145833 0.52604167 0.521875   0.52604167
 0.53229167 0.53541667 0.53125    0.50208333 0.546875   0.52916667
 0.56770833 0.575      0.5375     0.54375   ]",0.28805555555555556
8,6.722799999999997e-06,0.020617818466682286,0.300443025684217,7.743802244889037,1.911714087373444,0.07459491860995791,"[0.48352941 0.48191176 0.47573529 0.49117647 0.49926471 0.48088235
 0.48411765 0.49102941 0.48161765 0.49176471 0.49367647 0.50676471
 0.50014706 0.50308824 0.50147059 0.50117647 0.50617647 0.49941176
 0.5025     0.51014706 0.51161765 0.51779412 0.51014706 0.51794118
 0.51838235 0.51338235 0.52617647 0.52294118 0.52044118 0.52455882
 0.51676471 0.52397059 0.51941176 0.52691176 0.51823529 0.53485294
 0.53279412 0.53132353 0.52411765 0.52602941]","[0.48265306 0.47857143 0.48316327 0.46377551 0.46173469 0.46020408
 0.46377551 0.47193878 0.46887755 0.48673469 0.46785714 0.50102041
 0.48163265 0.50306122 0.5122449  0.53418367 0.51581633 0.52193878
 0.53673469 0.52602041 0.52346939 0.54183673 0.52142857 0.54744898
 0.55969388 0.5372449  0.55357143 0.56530612 0.55459184 0.56479592
 0.57908163 0.53928571 0.55510204 0.55969388 0.56581633 0.5744898
 0.58265306 0.60663265 0.58877551 0.59387755]",0.2891326530612245,"[0.50625    0.48854167 0.49375    0.49895833 0.525      0.52604167
 0.49583333 0.52083333 0.509375   0.53020833 0.50520833 0.51145833
 0.52916667 0.521875   0.50520833 0.49895833 0.52291667 0.51666667
 0.49583333 0.50520833 0.48541667 0.53125    0.51354167 0.5
 0.49166667 0.50729167 0.49895833 0.5        0.528125   0.5125
 0.52083333 0.51354167 0.5        0.48125    0.48958333 0.50104167
 0.51354167 0.51979167 0.49479167 0.51145833]",0.3070486111111111
9,4.705959999999998e-06,0.019334791259137608,0.29586873743877123,7.5652905033749285,1.8914489411197755,0.07379809136464431,"[0.48617647 0.48485294 0.48352941 0.49176471 0.48970588 0.48264706
 0.48455882 0.49102941 0.48117647 0.48852941 0.48455882 0.50205882
 0.49602941 0.50455882 0.49352941 0.50279412 0.50176471 0.4925
 0.50294118 0.51632353 0.50661765 0.50573529 0.51897059 0.52029412
 0.52455882 0.51691176 0.52676471 0.51838235 0.52       0.52117647
 0.51720588 0.5175     0.51676471 0.52529412 0.52661765 0.52411765
 0.52808824 0.52455882 0.52279412 0.52735294]","[0.47244898 0.48826531 0.48418367 0.46938776 0.46479592 0.46581633
 0.46785714 0.47142857 0.47704082 0.48826531 0.475      0.50255102
 0.49081633 0.50357143 0.51326531 0.54438776 0.5244898  0.53061224
 0.5372449  0.53112245 0.525      0.54234694 0.52959184 0.55357143
 0.56479592 0.54285714 0.56122449 0.56785714 0.56122449 0.56836735
 0.58265306 0.54744898 0.56020408 0.56989796 0.56836735 0.58112245
 0.58877551 0.60867347 0.59030612 0.59438776]",0.29008503401360547,"[0.49479167 0.47604167 0.47083333 0.50833333 0.51041667 0.525
 0.49375    0.5125     0.49479167 0.51979167 0.48645833 0.51875
 0.51041667 0.50625    0.49895833 0.49479167 0.52395833 0.5
 0.48854167 0.49791667 0.490625   0.53020833 0.50520833 0.50208333
 0.48958333 0.50520833 0.49791667 0.509375   0.50625    0.51145833
 0.50729167 0.509375   0.50729167 0.49895833 0.50520833 0.52604167
 0.521875   0.52708333 0.50520833 0.52395833]",0.30690972222222224
10,3.294171999999998e-06,0.019026330264610765,0.2973296342437,7.522836870399817,1.8856347987846451,0.07351861062117529,"[0.46838235 0.48308824 0.4875     0.49205882 0.48691176 0.48602941
 0.48176471 0.50044118 0.49779412 0.49308824 0.48970588 0.49735294
 0.49911765 0.5        0.50367647 0.50735294 0.51176471 0.50441176
 0.51602941 0.51911765 0.51764706 0.52455882 0.51764706 0.51955882
 0.53411765 0.52279412 0.53367647 0.52691176 0.52058824 0.53294118
 0.53191176 0.53       0.53352941 0.5275     0.53426471 0.53882353
 0.53970588 0.53867647 0.54029412 0.54514706]","[0.48265306 0.48265306 0.48571429 0.46887755 0.46683673 0.46887755
 0.46326531 0.48316327 0.48163265 0.49795918 0.47857143 0.49897959
 0.49642857 0.50561224 0.51938776 0.54795918 0.5255102  0.53469388
 0.54489796 0.53214286 0.52857143 0.54591837 0.53979592 0.56479592
 0.56326531 0.55102041 0.56530612 0.57346939 0.56530612 0.575
 0.58622449 0.55       0.56530612 0.57908163 0.56785714 0.58163265
 0.59489796 0.60459184 0.59591837 0.59387755]",0.29299319727891154,"[0.48645833 0.47708333 0.4625     0.50208333 0.50625    0.51145833
 0.48854167 0.50625    0.50520833 0.525      0.48333333 0.52291667
 0.515625   0.51145833 0.503125   0.503125   0.51666667 0.50208333
 0.49895833 0.5125     0.496875   0.528125   0.50625    0.49791667
 0.5        0.51354167 0.50520833 0.50833333 0.5125     0.51354167
 0.51041667 0.51458333 0.5125     0.50729167 0.50520833 0.521875
 0.52916667 0.52604167 0.51145833 0.52395833]",0.31020833333333336
