Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,3.9999999999999996e-05,0.03218635205421144,0.7809550114131222,17.117662269954703,2.7450540257731872,0.10857572119530974,"[0.47691176 0.49588235 0.50014706 0.51117647 0.51367647 0.52147059
 0.50323529 0.52632353 0.55161765 0.55455882]","[0.50765306 0.56989796 0.56887755 0.63928571 0.62857143 0.61632653
 0.62959184 0.6244898  0.65255102 0.64642857]",0.0,"[0.53854167 0.553125   0.56041667 0.5125     0.51979167 0.54479167
 0.54479167 0.596875   0.58333333 0.60104167]",0.0
2,3.9999999999999996e-05,0.028219880852690733,0.3691898409742862,10.968340152798563,2.2540421756934754,0.0898464112162438,"[0.49558824 0.50705882 0.50294118 0.50588235 0.51455882 0.50176471
 0.53426471 0.53529412 0.52088235 0.49602941]","[0.53367347 0.53622449 0.55459184 0.56479592 0.58469388 0.58010204
 0.55153061 0.56734694 0.5872449  0.55510204]",0.0,"[0.51354167 0.57708333 0.5375     0.53229167 0.51875    0.55
 0.55729167 0.565625   0.58020833 0.55833333]",0.0
3,3.9999999999999996e-05,0.02746195813315353,0.29573391477849026,8.817548525733493,2.073573854694865,0.08356942821113507,"[0.48970588 0.49426471 0.48294118 0.46794118 0.48529412 0.46191176
 0.48705882 0.4775     0.47102941 0.45764706]","[0.5        0.5005102  0.53367347 0.48928571 0.54030612 0.53877551
 0.50459184 0.54285714 0.54897959 0.55867347]",0.0,"[0.52083333 0.51875    0.52708333 0.515625   0.525      0.54270833
 0.54375    0.553125   0.55416667 0.53854167]",0.0
4,2.7999999999999996e-05,0.023348170361549257,0.24213182840806743,6.686455907409402,1.8129695506234254,0.07333615220303895,"[0.50808824 0.50573529 0.50191176 0.50117647 0.49455882 0.51220588
 0.50691176 0.50911765 0.50308824 0.50823529]","[0.4994898  0.49540816 0.50357143 0.50153061 0.51479592 0.55612245
 0.55255102 0.57244898 0.58622449 0.6       ]",0.0,"[0.52083333 0.528125   0.56458333 0.51770833 0.55       0.57395833
 0.56145833 0.553125   0.6        0.578125  ]",0.0
5,1.9599999999999995e-05,0.020673958423897347,0.23410676646744832,6.73593890592836,1.8188547789670375,0.07309002964757383,"[0.50705882 0.50426471 0.49470588 0.49955882 0.50779412 0.50176471
 0.50411765 0.51235294 0.50588235 0.50941176]","[0.4877551  0.49591837 0.49642857 0.4877551  0.51479592 0.52346939
 0.53622449 0.56734694 0.56734694 0.60459184]",0.0,"[0.53125    0.54791667 0.55       0.53645833 0.56666667 0.55833333
 0.56666667 0.55104167 0.615625   0.60520833]",0.0
6,1.3719999999999996e-05,0.018769266858612355,0.23069520781670386,6.542801549316061,1.79188937005796,0.07192621103782511,"[0.50779412 0.51529412 0.51088235 0.50264706 0.51191176 0.52191176
 0.52014706 0.51897059 0.51882353 0.52102941]","[0.49336735 0.50357143 0.49030612 0.4872449  0.5127551  0.51530612
 0.52704082 0.55663265 0.57295918 0.59642857]",0.0,"[0.540625   0.54270833 0.53854167 0.5375     0.57083333 0.559375
 0.575      0.57708333 0.60416667 0.60104167]",0.0
7,9.603999999999996e-06,0.01779017142760374,0.23449671254881346,6.607579696913991,1.7899930778966875,0.07142554167230443,"[0.50014706 0.50661765 0.51176471 0.50617647 0.52470588 0.51308824
 0.52985294 0.52808824 0.53073529 0.52808824]","[0.49693878 0.50561224 0.49489796 0.50255102 0.51785714 0.52346939
 0.52908163 0.56326531 0.58061224 0.59897959]",0.0,"[0.54270833 0.5625     0.53229167 0.55208333 0.5625     0.55833333
 0.57395833 0.57708333 0.58854167 0.58645833]",0.0
8,6.722799999999997e-06,0.01709861836263475,0.23613216950616334,6.531135048227841,1.780854420280274,0.07100940553224361,"[0.51411765 0.52117647 0.51279412 0.51941176 0.53647059 0.52764706
 0.52352941 0.52764706 0.53147059 0.53661765]","[0.49795918 0.50663265 0.5005102  0.50255102 0.5244898  0.53469388
 0.54591837 0.57397959 0.58979592 0.60663265]",0.0,"[0.53020833 0.55104167 0.546875   0.55833333 0.56666667 0.56770833
 0.57083333 0.578125   0.59479167 0.578125  ]",0.0
9,4.705959999999998e-06,0.01589940376544084,0.2395062126646129,6.479232871035418,1.7741794684445675,0.07061652613480632,"[0.50764706 0.51926471 0.52235294 0.52514706 0.52955882 0.53647059
 0.53779412 0.54014706 0.54941176 0.54294118]","[0.4994898  0.51173469 0.51989796 0.51530612 0.54795918 0.5494898
 0.55306122 0.57857143 0.59897959 0.61785714]",0.0,"[0.521875   0.55       0.55208333 0.54791667 0.56979167 0.56666667
 0.559375   0.56666667 0.58229167 0.57395833]",0.0
10,3.294171999999998e-06,0.01537146331749936,0.2423380645001695,6.546523842898825,1.779596132416354,0.07073150970260328,"[0.50352941 0.52014706 0.52926471 0.52073529 0.54161765 0.53985294
 0.54573529 0.5425     0.54970588 0.54588235]","[0.5        0.50510204 0.51785714 0.5122449  0.54795918 0.55663265
 0.54693878 0.575      0.59744898 0.61683673]",0.0,"[0.52083333 0.55729167 0.55729167 0.56145833 0.571875   0.56145833
 0.565625   0.56458333 0.58020833 0.55729167]",0.0
11,2.305920399999999e-06,0.01547798465651106,0.24282770408414459,6.547978964893204,1.779277312949452,0.07071377873439721,"[0.5025     0.51441176 0.5225     0.52764706 0.54235294 0.54764706
 0.54426471 0.53985294 0.55294118 0.54588235]","[0.49744898 0.50663265 0.52040816 0.51581633 0.54489796 0.55
 0.53928571 0.57397959 0.59132653 0.61428571]",0.0,"[0.52291667 0.559375   0.55729167 0.56666667 0.58020833 0.56458333
 0.56979167 0.56770833 0.58020833 0.54895833]",0.0
12,1.614144279999999e-06,0.015755277590383632,0.24338700472920513,6.560139970371632,1.7799673082154928,0.07071460926030972,"[0.51044118 0.515      0.51882353 0.52779412 0.54102941 0.55058824
 0.55338235 0.54367647 0.54867647 0.54911765]","[0.50204082 0.50663265 0.52244898 0.51938776 0.54489796 0.55255102
 0.54540816 0.57040816 0.59132653 0.61683673]",0.0,"[0.52083333 0.55729167 0.56354167 0.56875    0.57708333 0.56770833
 0.57083333 0.56770833 0.57916667 0.55104167]",0.0
