Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,7.999999999999999e-05,0.26816881148092175,0.2108392691566205,0.2517410216131135,0.3479240724918636,0.45650039738597525,[0.36646991 0.3870573  0.3866254  0.39720703 0.40829254 0.38640944],[0.39453908 0.40706413 0.43211423 0.46918838 0.48547094 0.47219439],0.0,[0.375      0.40110442 0.42670683 0.46084337 0.48293173 0.48544177],0.0
2,7.999999999999999e-05,0.14961762454377617,0.19304477843402731,0.22790882648352165,0.3148589077333776,0.41424541249040714,[0.36380651 0.38338612 0.38741722 0.41289951 0.41369133 0.39727901],[0.41107214 0.43537074 0.45440882 0.49173347 0.50400802 0.51077154],0.0,[0.37600402 0.4186747  0.43825301 0.48895582 0.49447791 0.51355422],0.0
3,3.9999999999999996e-05,0.1101025495722059,0.09981912965211442,0.12236425134424846,0.21889217791146598,0.3114742416301033,[0.36870141 0.38986467 0.39871869 0.42333717 0.43046358 0.41736251],[0.40681363 0.44564128 0.48346693 0.50851703 0.52204409 0.54283567],0.0,[0.39006024 0.43524096 0.46184739 0.51656627 0.52259036 0.54518072],0.0
4,1.9999999999999998e-05,0.09529629044721712,0.07303271632459275,0.09419763259931992,0.18523135962046847,0.2823777641473013,[0.37273251 0.3964152  0.41354737 0.44385258 0.44342067 0.43758998],[0.40981964 0.44388778 0.49398798 0.51427856 0.52855711 0.54308617],0.0,[0.39056225 0.42971888 0.48092369 0.52309237 0.53463855 0.55321285],0.0
5,9.999999999999999e-06,0.08969093905705404,0.07277953156938978,0.09222431318471763,0.18788692723252326,0.2863726889463104,[0.37604377 0.40188598 0.41909012 0.44845955 0.45263461 0.4424129 ],[0.40856713 0.44639279 0.49273547 0.51803607 0.53156313 0.5495992 ],0.0,[0.3935743  0.44176707 0.48895582 0.52560241 0.54668675 0.56977912],0.0
6,4.9999999999999996e-06,0.08601457762411331,0.0673219602069812,0.08687203108980203,0.1779115290902667,0.2769647902297696,[0.37179672 0.40109415 0.42434495 0.45616182 0.46372013 0.4558019 ],[0.41182365 0.4511523  0.49549098 0.52354709 0.53557114 0.5511022 ],0.0,[0.39407631 0.43875502 0.48293173 0.52761044 0.54869478 0.57429719],0.0
7,2.4999999999999998e-06,0.08324814647212361,0.06453234597390829,0.08461604702127504,0.1726495349123693,0.2716753360967456,[0.37446012 0.40764469 0.42751224 0.46177656 0.46055284 0.45608984],[0.40681363 0.45566132 0.49599198 0.52329659 0.53481964 0.5506012 ],0.0,[0.39307229 0.43574297 0.48795181 0.52761044 0.55271084 0.57429719],0.0
8,1.2499999999999999e-06,0.08271213440239662,0.0636612928389794,0.08382599948801912,0.17083068891896871,0.27144749410042657,[0.37503599 0.40188598 0.43096746 0.46004895 0.46112871 0.46134466],[0.40881764 0.45691383 0.49524048 0.52279559 0.53381764 0.5511022 ],0.0,[0.39407631 0.437249   0.48443775 0.52610442 0.54819277 0.5747992 ],0.0
9,6.249999999999999e-07,0.08450709822985927,0.06280379614521421,0.08354719106932088,0.16873050994428251,0.2696694079798204,[0.37388425 0.41088396 0.43211921 0.46141664 0.4665275  0.45796142],[0.41057114 0.45866733 0.49674349 0.52730461 0.53632265 0.55385772],0.0,[0.39608434 0.43825301 0.48242972 0.5311245  0.54819277 0.57379518],0.0
10,3.1249999999999997e-07,0.08220214252200778,0.06252005065607043,0.08334243110420757,0.1679230861385392,0.26924771349340537,[0.37388425 0.4071408  0.43010366 0.45932911 0.46357616 0.45853729],[0.40856713 0.45816633 0.49599198 0.52630261 0.53832665 0.55385772],0.0,[0.39407631 0.44026104 0.48293173 0.53263052 0.5496988  0.5747992 ],0.0
