Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,7.999999999999999e-05,0.05395060143859971,0.004539425634974909,0.007384766717787879,0.061063865075291664,1.7770927486003383,[0.51027829 0.51317254 0.48756957 0.50493506 0.49795918 0.50604824],[0.49678322 0.48867133 0.49482517 0.51384615 0.49594406 0.50321678],0.0,[0.48571429 0.49079365 0.50793651 0.49396825 0.51301587 0.51047619],0.0
2,7.999999999999999e-05,0.05606698453756708,0.003408334524087083,0.00637217600555092,0.05648320264840772,1.9348199621644002,[0.49706865 0.49038961 0.49142857 0.5038961  0.49959184 0.5128757 ],[0.49314685 0.47748252 0.47832168 0.48027972 0.47552448 0.47972028],0.0,[0.52698413 0.51555556 0.51174603 0.52190476 0.52698413 0.51873016],0.0
3,3.9999999999999996e-05,0.04307874182983455,0.0029533595635647153,0.0051140084951318,0.05058017363348468,1.9146133955021005,[0.4993692  0.49721707 0.49105751 0.49142857 0.48667904 0.48415584],[0.49398601 0.48559441 0.48167832 0.47804196 0.46405594 0.45454545],0.0,[0.50920635 0.50857143 0.5047619  0.51238095 0.49650794 0.48888889],0.0
4,1.9999999999999998e-05,0.036931218585885627,0.002726471456394176,0.0049760421267915165,0.05002322916195474,1.955467329200331,[0.49766234 0.49350649 0.49157699 0.48890538 0.4941744  0.4948423 ],[0.49118881 0.48307692 0.47048951 0.46545455 0.47328671 0.45986014],0.0,[0.50349206 0.5015873  0.50539683 0.51111111 0.52126984 0.49650794],0.0
5,9.999999999999999e-06,0.03360777360944709,0.002621398720091545,0.004803125158666065,0.04877757601003599,1.9570034251724193,[0.50330241 0.50048237 0.50107607 0.49788497 0.50693878 0.50649351],[0.48979021 0.48643357 0.46741259 0.47328671 0.48111888 0.47524476],0.0,[0.50920635 0.50857143 0.51301587 0.52380952 0.53460317 0.51301587],0.0
6,4.9999999999999996e-06,0.03185467136640327,0.0025110194414053925,0.004620242974948536,0.04775259157616671,1.9674924658298805,[0.5032282  0.50671614 0.51257885 0.50909091 0.51918367 0.51836735],[0.4813986  0.48251748 0.46601399 0.47636364 0.48475524 0.48307692],0.0,[0.50603175 0.51936508 0.52571429 0.52888889 0.5352381  0.52507937],0.0
7,2.4999999999999998e-06,0.03139891367834813,0.0024998962382105964,0.004515342980415549,0.047160153965615514,1.947951634696496,[0.50456401 0.50248609 0.50998145 0.50693878 0.52393321 0.52571429],[0.48811189 0.48979021 0.47160839 0.47328671 0.49146853 0.49174825],0.0,[0.50857143 0.51492063 0.53079365 0.53460317 0.52380952 0.52761905],0.0
8,1.2499999999999999e-06,0.03054930091948032,0.0024961726046707814,0.004486656510586338,0.047000845938504156,1.9510966290224838,[0.50508349 0.5090167  0.51280148 0.51628942 0.52860853 0.52912801],[0.48867133 0.49146853 0.46741259 0.47692308 0.49202797 0.49062937],0.0,[0.50603175 0.51492063 0.53142857 0.5352381  0.52571429 0.52698413],0.0
9,6.249999999999999e-07,0.029934440969678178,0.0024840893498751233,0.004491439603947952,0.04706073829715329,1.9519458175773596,[0.51027829 0.50760668 0.51666048 0.51836735 0.52408163 0.52697588],[0.48671329 0.49314685 0.46545455 0.47440559 0.49006993 0.48699301],0.0,[0.50349206 0.51492063 0.53015873 0.53333333 0.52507937 0.52444444],0.0
10,3.1249999999999997e-07,0.029563595588427104,0.002480399848256696,0.004485364533667797,0.047010963812301104,1.953721502472132,[0.51109462 0.51012987 0.5174026  0.51525046 0.52682746 0.53335807],[0.48811189 0.49398601 0.46545455 0.4772028  0.48643357 0.48643357],0.0,[0.5047619  0.51301587 0.52761905 0.53206349 0.52698413 0.52698413],0.0
