Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,3.9999999999999996e-05,0.01543833310408501,0.03222280595021796,0.034345356557402326,0.10757086865607896,0.1865341923126121,"[0.50461614 0.5087344  0.51127912 0.50809515 0.51119307 0.51060299
 0.51256992 0.51343045]","[0.51479744 0.51855011 0.51897655 0.51914712 0.51633262 0.50933902
 0.50852878 0.50916844]",0.0,"[0.49598634 0.50230572 0.49940222 0.4970965  0.49786507 0.48923997
 0.48906917 0.47685739]",0.0
2,3.9999999999999996e-05,0.014540439268857964,0.02143054881462353,0.025496413242570324,0.08688362139487651,0.157139553747543,"[0.50684123 0.50705022 0.50945971 0.50794763 0.50852542 0.50677977
 0.50933678 0.50853771]","[0.51245203 0.51603412 0.51722814 0.51253731 0.51560768 0.51663113
 0.52140725 0.52170576]",0.0,"[0.5029889  0.5088813  0.505807   0.51255337 0.50674637 0.49786507
 0.50162254 0.49538856]",0.0
3,3.9999999999999996e-05,0.012652892458086346,0.021660795330140446,0.028443322445708307,0.08663345331391657,0.1607012992961082,"[0.50562419 0.50765259 0.5069027  0.50719774 0.50525539 0.50531686
 0.50959494 0.50974245]","[0.51590618 0.51671642 0.51513859 0.51441365 0.51164179 0.51501066
 0.51509595 0.51761194]",0.0,"[0.49521776 0.49812126 0.49427839 0.49965841 0.49829206 0.49137489
 0.49197267 0.48608027]",0.0
4,2.7999999999999996e-05,0.011875353094123098,0.015842138535612924,0.020066486686821653,0.07188387772292773,0.12994228368952696,"[0.50499723 0.50521851 0.50521851 0.50637409 0.50425963 0.5015551
 0.50350974 0.50360809]","[0.51249467 0.51428571 0.51607676 0.5119403  0.51074627 0.5098081
 0.51279318 0.51556503]",0.0,"[0.49444919 0.49940222 0.49786507 0.50093937 0.49829206 0.49573015
 0.49316823 0.49205807]",0.0
5,1.9599999999999995e-05,0.01096622239772112,0.012446612716710189,0.01579138845183929,0.06241960311427649,0.10118654352406274,"[0.50330076 0.50135841 0.50298113 0.50466531 0.50121089 0.50349745
 0.50214518 0.50186244]","[0.51014925 0.51095949 0.50938166 0.50537313 0.50046908 0.50025586
 0.50486141 0.51040512]",0.0,"[0.49888984 0.50538002 0.49547395 0.49180188 0.48983775 0.48778822
 0.48582408 0.48471392]",0.0
6,1.3719999999999996e-05,0.010455771847459062,0.011153156967090334,0.015141436348873919,0.060500551956489304,0.09927398467690611,"[0.50170262 0.50537833 0.50721003 0.50477595 0.50314094 0.50277214
 0.50369414 0.50328846]","[0.50490405 0.50507463 0.50089552 0.49914712 0.49727079 0.50025586
 0.50042644 0.50652452]",0.0,"[0.49931682 0.50478224 0.49948762 0.49581554 0.49154569 0.48719044
 0.48864219 0.48300598]",0.0
7,9.603999999999996e-06,0.010105480611347683,0.008604482941924703,0.014300950844599336,0.05676885502311641,0.08693794551938931,"[0.50430881 0.5032147  0.50551355 0.50575942 0.50405065 0.50400148
 0.50360809 0.50418587]","[0.50460554 0.50533049 0.50149254 0.50063966 0.49641791 0.49846482
 0.49855011 0.5021322 ]",0.0,"[0.49632792 0.50119556 0.49342442 0.48838599 0.48710504 0.48351836
 0.47916311 0.47830914]",0.0
8,6.722799999999997e-06,0.009908842646648047,0.007780619711252975,0.01393373839566037,0.055337321165420894,0.08573820732766266,"[0.50449321 0.50334993 0.50394001 0.50559961 0.50730838 0.5074559
 0.50883275 0.50934907]","[0.5073774  0.50652452 0.5038806  0.50081023 0.49680171 0.49791045
 0.49501066 0.49795309]",0.0,"[0.4970111  0.50025619 0.4911187  0.48838599 0.48420154 0.48163962
 0.47736977 0.47574722]",0.0
9,4.705959999999998e-06,0.009780762560122929,0.00700519107637994,0.013712246625236691,0.05439302466366924,0.08220660014034334,"[0.50502182 0.50661995 0.50631262 0.50591923 0.50685353 0.50712398
 0.50682894 0.50697646]","[0.50588486 0.50362473 0.50264392 0.49688699 0.49458422 0.49488273
 0.49415778 0.49326226]",0.0,"[0.49368061 0.49487617 0.48736123 0.48479932 0.4793339  0.47805295
 0.4766012  0.47156277]",0.0
10,3.294171999999998e-06,0.009692013294135162,0.006587893199194361,0.013229930509136047,0.052832792009880294,0.07997644124388782,"[0.5054275  0.50509558 0.50614051 0.50823038 0.50403836 0.50646014
 0.50734526 0.50955806]","[0.50592751 0.50302772 0.50034115 0.49607676 0.49360341 0.49317697
 0.49270789 0.49377399]",0.0,"[0.49846285 0.50760034 0.49573015 0.49299744 0.48864219 0.48454313
 0.48078565 0.47856533]",0.0
