Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,7.999999999999999e-05,0.015994184201462973,0.02516305381265484,0.026710426905058926,0.12776737178037978,3.2463154023571095,"[0.51903788 0.53530042 0.54445418 0.55214724 0.55404616 0.55243938
 0.5583309 ]","[0.49821365 0.53197571 0.54519471 0.5562701  0.54394427 0.53822794
 0.55001786]",0.0,"[0.54157044 0.50769823 0.51732102 0.54272517 0.52617398 0.51308699
 0.46535797]",0.0
2,7.999999999999999e-05,0.01233272817404854,0.006043589027737231,0.007191664308349732,0.06904538332345912,1.8097088811929076,"[0.5069627  0.51188042 0.50915376 0.51115006 0.5044795  0.50462557
 0.49970786]","[0.47606288 0.48356556 0.48803144 0.49767774 0.49517685 0.49285459
 0.49071097]",0.0,"[0.52463433 0.51963048 0.5334873  0.52963818 0.52848345 0.51886066
 0.49384142]",0.0
3,3.9999999999999996e-05,0.009457205409511477,0.004566635451311574,0.005709257277769625,0.05968156198712439,1.49081906775913,"[0.50408998 0.5084721  0.51475314 0.51728503 0.51738241 0.51582433
 0.51368196]","[0.47659879 0.48249375 0.48624509 0.4939264  0.49356913 0.50035727
 0.49267596]",0.0,"[0.50769823 0.52193995 0.5334873  0.54811393 0.52771363 0.5269438
 0.51385681]",0.0
4,1.9999999999999998e-05,0.008036018825421841,0.0035094403456514766,0.004566842289386646,0.052784132102398566,1.5219223029953444,"[0.50574545 0.50725484 0.51431493 0.51231863 0.51635992 0.51991431
 0.52171584]","[0.47642015 0.47302608 0.46963201 0.47784923 0.47999285 0.48499464
 0.47302608]",0.0,"[0.49961509 0.49769053 0.5034642  0.51424172 0.50923788 0.51308699
 0.49076212]",0.0
5,9.999999999999999e-06,0.007288147167786559,0.0032121168449050566,0.004253219038043493,0.05059413021152873,1.5231045955614388,"[0.50803389 0.50594021 0.51290291 0.51334112 0.51665206 0.51903788
 0.52049859]","[0.4842801  0.47856377 0.4812433  0.4807074  0.48017149 0.4812433
 0.46409432]",0.0,"[0.48383372 0.47729022 0.47767513 0.4965358  0.50038491 0.50731332
 0.50538876]",0.0
6,4.9999999999999996e-06,0.007007817622656464,0.003210402220728491,0.0042061636762934715,0.050389731163608203,1.5425427594668324,"[0.50555069 0.51007888 0.51548349 0.51879443 0.5189405  0.52113156
 0.52405297]","[0.49249732 0.48338692 0.48481601 0.48570918 0.48035013 0.48320829
 0.47481243]",0.0,"[0.4865281  0.47882987 0.47959969 0.49923018 0.51616628 0.51616628
 0.51039261]",0.0
7,2.4999999999999998e-06,0.006747180104765891,0.003308515959932425,0.004189766971942495,0.05035015771021749,1.5138627449918982,"[0.51037102 0.5094946  0.5179667  0.51816146 0.52225144 0.52366345
 0.52517285]","[0.49285459 0.48553055 0.49071097 0.4878528  0.48142194 0.48356556
 0.47356199]",0.0,"[0.49076212 0.48344881 0.48537336 0.50038491 0.51462664 0.51424172
 0.50615858]",0.0
8,1.2499999999999999e-06,0.006686603248187816,0.0033748135583055276,0.004198535415891391,0.05047830836178629,1.5133020339577608,"[0.508959   0.51188042 0.51957347 0.51786932 0.52137501 0.52546499
 0.52760736]","[0.49142551 0.48463737 0.48928189 0.4903537  0.48195784 0.48142194
 0.47266881]",0.0,"[0.49191686 0.48498845 0.48537336 0.50230947 0.51578137 0.51385681
 0.50230947]",0.0
9,6.249999999999999e-07,0.006681521515418812,0.003368368385797614,0.004156046132718366,0.05022788259159826,1.525200890678621,"[0.51124744 0.51635992 0.52176453 0.52609796 0.52824033 0.53048009
 0.53418054]","[0.49196141 0.48570918 0.49017506 0.48838871 0.48302965 0.48106467
 0.47302608]",0.0,"[0.4899923  0.48113934 0.48614319 0.50384911 0.51578137 0.51578137
 0.50538876]",0.0
10,3.1249999999999997e-07,0.006643505557963971,0.0033495445764251484,0.004130129462345027,0.05006428626051526,1.5328486730511293,"[0.51183173 0.51168566 0.52346869 0.52600058 0.52760736 0.53125913
 0.53354757]","[0.49142551 0.48535191 0.48856735 0.48874598 0.48410146 0.48017149
 0.47123973]",0.0,"[0.4899923  0.48036952 0.48575828 0.50500385 0.51809084 0.51539646
 0.50962279]",0.0
11,1.5624999999999999e-07,0.0066660551446480944,0.0033428015130384896,0.004120597933648448,0.05000506849941525,1.5350171793980918,"[0.51056578 0.51660337 0.52166715 0.52614665 0.53101568 0.52974973
 0.53052878]","[0.49142551 0.48517328 0.48981779 0.48874598 0.48570918 0.48142194
 0.47249018]",0.0,"[0.48960739 0.48229407 0.48421863 0.50192456 0.51732102 0.51732102
 0.51116243]",0.0
12,7.812499999999999e-08,0.006616336362449899,0.0033413607735334958,0.004116263990428339,0.04997867500181894,1.5374037514960779,"[0.51280553 0.51003019 0.52410167 0.52473464 0.53315805 0.53525173
 0.53578732]","[0.49071097 0.48517328 0.49142551 0.49017506 0.48588782 0.48249375
 0.47177563]",0.0,"[0.48922248 0.47882987 0.48421863 0.50230947 0.51770593 0.51770593
 0.50962279]",0.0
