Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0007999999999999986,0.06796349971471509,0.022721665778023127,0.32181844443952745,0.22279049357297528,0.058621540206453555,"[0.51850229 0.51212387 0.51621385 0.51801539 0.51387672 0.50618366
 0.5124647 ]","[0.51482672 0.51196856 0.50750268 0.50107181 0.49214005 0.48981779
 0.47624151]",0.0,"[0.50500385 0.51116243 0.49923018 0.49923018 0.50384911 0.50076982
 0.50153965]",0.0
2,0.0007999999999999986,0.07387567479206941,0.014349782708551043,0.1914261532700678,0.1551303516021288,0.041185369269896424,"[0.51426624 0.51007888 0.51192911 0.51261077 0.50073035 0.49805239
 0.49308599]","[0.52250804 0.52876027 0.52625938 0.53358342 0.53215434 0.53215434
 0.51679171]",0.0,"[0.51231717 0.52578907 0.51616628 0.52809854 0.52732871 0.53310239
 0.53117783]",0.0
3,0.0003999999999999993,0.06468114649851513,0.014196963612727959,0.22607073567771863,0.1658280553887144,0.043543720798814495,"[0.50939721 0.50701139 0.5079852  0.50204499 0.4970299  0.49108969
 0.4890447 ]","[0.53554841 0.52893891 0.53001072 0.54269382 0.55108967 0.54894605
 0.54858878]",0.0,"[0.51039261 0.53579677 0.53194765 0.53618168 0.52424942 0.51539646
 0.50461894]",0.0
4,0.00019999999999999966,0.056849952734343755,0.011317434487528304,0.2058746782625915,0.15146583297847904,0.0399036669184325,"[0.50384653 0.50477164 0.50121726 0.49868536 0.48884994 0.48480865
 0.48339663]","[0.528403   0.53233298 0.53965702 0.55537692 0.57145409 0.56323687
 0.5689532 ]",0.0,"[0.50731332 0.5334873  0.53579677 0.54464973 0.53579677 0.52193995
 0.5200154 ]",0.0
5,9.999999999999983e-05,0.05215415166850927,0.011727077757343371,0.19796368680875784,0.1501839263584277,0.03970010691678744,"[0.50511247 0.49839322 0.49644561 0.49780894 0.49143052 0.48875256
 0.48748661]","[0.52804573 0.53251161 0.52983208 0.54519471 0.56341551 0.55519829
 0.56770275]",0.0,"[0.49846035 0.52655889 0.543495   0.53964588 0.54003079 0.52963818
 0.5200154 ]",0.0
6,4.9999999999999914e-05,0.048631469903444684,0.011298735570186732,0.19266098658322173,0.1505089053446936,0.03976056755231923,"[0.50827734 0.50360308 0.49990262 0.50321356 0.49712728 0.49381634
 0.49464407]","[0.53411933 0.54233655 0.53322615 0.54162201 0.54733834 0.54823151
 0.56520186]",0.0,"[0.51886066 0.53579677 0.54195535 0.54118553 0.53233256 0.5234796
 0.52155504]",0.0
7,2.4999999999999957e-05,0.046945845430493495,0.011568204825770919,0.19905863307333588,0.15422539079076703,0.04066657222905231,"[0.50613497 0.50335963 0.50233713 0.50501509 0.50009738 0.50365177
 0.50233713]","[0.52679528 0.53126116 0.5278671  0.53572705 0.54090747 0.53983566
 0.54948196]",0.0,"[0.49884527 0.52155504 0.52270978 0.51539646 0.51462664 0.49961509
 0.49538106]",0.0
8,1.2499999999999979e-05,0.04647152688744141,0.011564400160857788,0.19778672706696135,0.15355384760483348,0.040491525969684666,"[0.50920245 0.49907489 0.49922096 0.50467426 0.50287272 0.5029701
 0.50170416]","[0.53394069 0.5344766  0.53197571 0.54037156 0.54394427 0.53965702
 0.55216149]",0.0,"[0.49153195 0.5134719  0.51924557 0.51616628 0.51308699 0.49576597
 0.49037721]",0.0
9,6.249999999999989e-06,0.04572377406463575,0.011524529968884152,0.19911506272628324,0.1541348922267029,0.040614173209069085,"[0.51149089 0.50569676 0.50165547 0.50555069 0.50155809 0.49892881
 0.50004869]","[0.52768846 0.53465523 0.52804573 0.53965702 0.54180064 0.54001429
 0.55144695]",0.0,"[0.49615089 0.52925327 0.53387221 0.52155504 0.52617398 0.5
 0.49384142]",0.0
10,3.1249999999999946e-06,0.04587790709391036,0.01147119615015393,0.19385816606697712,0.15141620589490074,0.039986567246345334,"[0.50973805 0.50360308 0.5069627  0.50856948 0.50594021 0.50389522
 0.50584283]","[0.53054662 0.53840657 0.53679886 0.54519471 0.54483744 0.543587
 0.55787781]",0.0,"[0.49730562 0.53502694 0.53926097 0.52809854 0.5334873  0.51154734
 0.50731332]",0.0
