Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0007999999999999986,0.017043939256056878,0.0018780492582042617,0.006776765991658102,0.04268635000272846,0.8747697362932199,[0.50245204 0.50548103 0.50551709 0.50670705 0.50710371],[0.50038168 0.49631043 0.4894402  0.49363868 0.4889313 ],0.0,[0.50983437 0.50854037 0.51319876 0.50621118 0.50258799],0.0
2,0.0007999999999999986,0.019716603879555972,0.0017390843877958264,0.00842525460113032,0.04498640010879865,0.8956823301302511,[0.50926727 0.50724794 0.50757248 0.50677917 0.50695947],[0.50152672 0.49783715 0.49083969 0.49796438 0.49592875],0.0,[0.51268116 0.51708075 0.51863354 0.51630435 0.51552795],0.0
3,0.0003999999999999993,0.013038472266070732,0.0017864680430083246,0.006760495709467534,0.04248022208050718,0.933415106918222,[0.51049329 0.50724794 0.50627434 0.50504832 0.50544497],[0.49961832 0.49529262 0.49147583 0.49669211 0.49109415],0.0,[0.50621118 0.51086957 0.51371636 0.50879917 0.50672878],0.0
4,0.00019999999999999966,0.010055334986660464,0.0017686894626416495,0.007444651030155764,0.04448411535144649,0.9920401722861042,[0.51150296 0.51171931 0.51092601 0.51092601 0.50894274],[0.50597964 0.50458015 0.50127226 0.50216285 0.50025445],0.0,[0.51268116 0.50931677 0.52044513 0.51190476 0.50724638],0.0
5,9.999999999999983e-05,0.00886430580736843,0.0016639837171824635,0.006176557880241718,0.03948110040821107,0.9057765451089287,[0.51276504 0.50843791 0.51052935 0.50724794 0.50504832],[0.49656489 0.49745547 0.49541985 0.49821883 0.49122137],0.0,[0.50491718 0.50517598 0.50439959 0.5010352  0.49197723],0.0
6,4.9999999999999914e-05,0.00812331058438905,0.0016333666714180824,0.006341267447756583,0.040316997565691653,0.8996653605821251,[0.51121448 0.50652676 0.50811337 0.50991634 0.51265686],[0.49631043 0.49885496 0.49872774 0.50114504 0.49427481],0.0,[0.51112836 0.50828157 0.51112836 0.50465839 0.498706  ],0.0
7,2.4999999999999957e-05,0.007634593953583393,0.0015940482593541335,0.005986628377769464,0.038575736986729135,0.8832674940038501,[0.50594981 0.50973605 0.51554161 0.51096207 0.51319775],[0.50165394 0.4980916  0.49872774 0.49529262 0.49529262],0.0,[0.51371636 0.51268116 0.50828157 0.50388199 0.5       ],0.0
8,1.2499999999999979e-05,0.007631340248143503,0.0015488240059642843,0.0058821247067686365,0.03763379031518574,0.8509497721793258,[0.50670705 0.507284   0.50930333 0.51074571 0.5112866 ],[0.50114504 0.50127226 0.49860051 0.49681934 0.4975827 ],0.0,[0.51552795 0.50414079 0.50517598 0.49818841 0.49508282],0.0
9,6.249999999999989e-06,0.007513552045550288,0.001537155601184546,0.005792399937686484,0.03718001237316839,0.8425634629995996,[0.50933939 0.5087985  0.50796913 0.50912303 0.50933939],[0.49440204 0.4980916  0.49478372 0.49834606 0.49923664],0.0,[0.50776398 0.4984472  0.50776398 0.49378882 0.49223602],0.0
10,3.1249999999999946e-06,0.007495490971236938,0.00153080570238084,0.0057046200053673946,0.03672161717820941,0.8357378551466319,[0.5087985  0.51002452 0.50933939 0.51247656 0.51507284],[0.49694656 0.49949109 0.49707379 0.49885496 0.49834606],0.0,[0.50828157 0.4992236  0.4992236  0.49171843 0.48861284],0.0
11,1.5624999999999973e-06,0.0076108385517362365,0.0015263429988086467,0.005653149584803809,0.03647516508718227,0.8291196888767695,[0.50757248 0.50703159 0.50818549 0.50811337 0.50948363],[0.4980916  0.50089059 0.49631043 0.49898219 0.49847328],0.0,[0.50905797 0.4984472  0.5015528  0.49120083 0.48757764],0.0
12,7.812499999999987e-07,0.007421435364214724,0.0015187899015111257,0.005610268166175872,0.03619001461850579,0.8248322573575753,[0.51193567 0.51319775 0.50901486 0.50742824 0.50887062],[0.49707379 0.50012723 0.49516539 0.4980916  0.4980916 ],0.0,[0.51061077 0.49534161 0.50232919 0.49171843 0.48524845],0.0
13,3.9062499999999933e-07,0.007492775900550746,0.0015164792756205197,0.005595869091050315,0.036081452931291676,0.8233504250147984,[0.51276504 0.50858214 0.51568585 0.51276504 0.51193567],[0.49707379 0.49910941 0.49414758 0.49707379 0.49783715],0.0,[0.51086957 0.49456522 0.50414079 0.49171843 0.48369565],0.0
14,1.9531249999999967e-07,0.007429274616732538,0.0015167919504142588,0.005591456531566172,0.036060764600046494,0.8231016490942592,[0.50717583 0.50825761 0.51027694 0.50757248 0.51276504],[0.49643766 0.49885496 0.49478372 0.49631043 0.4975827 ],0.0,[0.51035197 0.49508282 0.50362319 0.49120083 0.48473085],0.0
15,9.765624999999983e-08,0.007433715007404885,0.0015162748418644347,0.005588281878965257,0.036036612845260566,0.8226805006651535,[0.50941151 0.51143084 0.51601039 0.51748882 0.51745276],[0.49643766 0.49834606 0.49465649 0.49707379 0.49834606],0.0,[0.51035197 0.49585921 0.50310559 0.49120083 0.48421325],0.0
16,4.8828124999999916e-08,0.007375936113857354,0.0015156930196370136,0.005583329998513669,0.03601235354120153,0.8222013472863793,[0.51114236 0.51153902 0.51312563 0.51326987 0.51355834],[0.49681934 0.49834606 0.49478372 0.49669211 0.49834606],0.0,[0.51035197 0.49482402 0.50258799 0.49068323 0.48395445],0.0
