Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,3.9999999999999996e-05,0.031545347776106576,0.12978511768246948,0.03593370160943297,0.1441453379861773,0.15262762298574994,"[0.5444028  0.56894053 0.59057971 0.60683408 0.63163418 0.65078711
 0.66391804 0.686007   0.69184158 0.70237381 0.71408046 0.71826587
 0.7198026  0.73297101 0.73422039 0.74151674 0.75232384 0.75474763
 0.75446027 0.76265617 0.7681909  0.77196402 0.77193903 0.77330085
 0.77255122 0.77546227 0.77395052 0.77564968 0.7799975  0.7832084
 0.7876062  0.78710645 0.78437031 0.78998001 0.79332834 0.79853823
 0.80762119 0.81315592 0.81665417 0.82045227 0.82493753 0.82754873
 0.83065967 0.8332084  0.83410795 0.83153423 0.82922289 0.82957271
 0.82831084 0.82872314 0.8285982  0.82946027 0.82624938 0.82456272
 0.82153923 0.81410545 0.81283108 0.80862069 0.80674663 0.80528486]","[0.49190939 0.49385113 0.49667129 0.49500693 0.49542302 0.50092464
 0.5038835  0.50536292 0.50906149 0.51386963 0.52154415 0.52343967
 0.52459547 0.5319926  0.53240869 0.53273232 0.53592233 0.53624595
 0.54128525 0.54174757 0.54364309 0.5409154  0.53874249 0.53999075
 0.54073047 0.54327323 0.545816   0.54641701 0.54951456 0.55127138
 0.55025428 0.55247342 0.55815996 0.56042534 0.56430883 0.56569579
 0.56629681 0.56504854 0.56703652 0.56509478 0.56796117 0.56722145
 0.56504854 0.56588072 0.56888581 0.56985668 0.57064263 0.5654184
 0.56204346 0.55765141 0.55718909 0.55492372 0.55427647 0.55247342
 0.55196486 0.54946833 0.55131761 0.55020804 0.55455386 0.55644938]",0.16449560795191864,"[0.50298432 0.50520991 0.50713202 0.52331816 0.52129489 0.51320182
 0.52412747 0.51785534 0.51856348 0.51745068 0.50460293 0.50369246
 0.50126454 0.48912494 0.48993424 0.48841679 0.46413758 0.46090035
 0.46545271 0.46666667 0.46788063 0.46757714 0.46545271 0.46949924
 0.46545271 0.46788063 0.46170966 0.46079919 0.46231664 0.45705615
 0.46403642 0.4635306  0.45877592 0.456348   0.46069803 0.45958523
 0.45796662 0.45907941 0.4616085  0.45907941 0.45978756 0.4585736
 0.45655033 0.45371775 0.45240263 0.45240263 0.45118867 0.45179565
 0.45867476 0.46899342 0.46565503 0.46737481 0.46909459 0.46777946
 0.46504805 0.46251897 0.46019221 0.45816894 0.45483055 0.44886191]",0.14936772888214467
2,3.9999999999999996e-05,0.03983077802208088,0.09708383292752117,0.03399910588835513,0.1440169793375825,0.1586739060915042,"[0.53424538 0.55313593 0.56248126 0.57323838 0.58573213 0.59542729
 0.60638431 0.6187906  0.63053473 0.63896802 0.64747626 0.65569715
 0.66424288 0.66870315 0.67582459 0.68247126 0.69570215 0.69562719
 0.70569715 0.70738381 0.71155672 0.71228136 0.71841579 0.72255122
 0.72682409 0.7326087  0.73352074 0.74141679 0.74432784 0.75001249
 0.7560095  0.75907046 0.7613943  0.7602074  0.76384308 0.76609195
 0.76997751 0.77107696 0.77231384 0.77401299 0.77749875 0.77673663
 0.78002249 0.78170915 0.77858571 0.77781109 0.77746127 0.77756122
 0.7771989  0.77873563 0.77904798 0.77762369 0.77788606 0.77566217
 0.77552474 0.77248876 0.77125187 0.76811594 0.76545477 0.76158171]","[0.49472954 0.49972261 0.50212668 0.50212668 0.50069348 0.49764216
 0.50078595 0.50295885 0.50545539 0.50406842 0.50494683 0.50531669
 0.50651872 0.51044845 0.51155802 0.51558021 0.51659732 0.51812298
 0.5236246  0.52140546 0.51983356 0.52080444 0.51770689 0.51904762
 0.51992603 0.52186778 0.52260749 0.52538141 0.52884882 0.52977346
 0.5308368  0.53411928 0.543227   0.54558484 0.54937587 0.54840499
 0.55298197 0.55196486 0.55460009 0.55492372 0.55580213 0.55483125
 0.55353675 0.55168747 0.55386038 0.55575589 0.55265834 0.55154877
 0.55307443 0.55224226 0.55150254 0.54845123 0.54854369 0.54507628
 0.5492834  0.54563107 0.54595469 0.54276468 0.54655571 0.54780398]",0.14020064724919096,"[0.50561457 0.5066262  0.49914011 0.51320182 0.52200303 0.52463328
 0.5292868  0.53242286 0.53889732 0.54284269 0.54355083 0.54628225
 0.5447648  0.54132524 0.53616591 0.52959029 0.52736469 0.5168437
 0.51239251 0.51067274 0.5088518  0.50854831 0.50955994 0.50935761
 0.50723318 0.4994436  0.5005564  0.49307031 0.48861912 0.4903389
 0.49195751 0.49317147 0.49205867 0.49590288 0.49418311 0.49165402
 0.48416793 0.48366211 0.48720283 0.48345979 0.47617602 0.48052605
 0.47577137 0.47577137 0.47253414 0.476783   0.48305513 0.48082954
 0.47688417 0.48942843 0.48265048 0.48447142 0.48831563 0.49175518
 0.47728882 0.49458776 0.48497724 0.48184117 0.48406677 0.48882145]",0.19177946383409208
3,3.9999999999999996e-05,0.04964034797949248,0.1405142597329709,0.050902111952299,0.176313005202638,0.19773263803830046,"[0.52463768 0.5364068  0.54392804 0.54850075 0.55909545 0.56714143
 0.57674913 0.58526987 0.59291604 0.60227386 0.60412294 0.61334333
 0.61854073 0.62081459 0.62974763 0.63267116 0.63314593 0.6384058
 0.6406047  0.64210395 0.64474013 0.64627686 0.64718891 0.65113693
 0.65118691 0.65373563 0.6560095  0.65687156 0.6601949  0.66814093
 0.67093953 0.6706022  0.66956522 0.67176412 0.67448776 0.67686157
 0.682996   0.68369565 0.68571964 0.68548226 0.68815592 0.69090455
 0.69421539 0.69026737 0.69067966 0.69170415 0.6903923  0.6915917
 0.68928036 0.69087956 0.68783108 0.68605697 0.68077211 0.68308346
 0.68244628 0.68198401 0.6785982  0.67982259 0.67462519 0.67828586]","[0.49357374 0.49653259 0.50060102 0.50083218 0.4998613  0.50036986
 0.50397596 0.50638003 0.50688858 0.50628756 0.50277393 0.50254276
 0.50263523 0.50392973 0.49889043 0.50055479 0.50157189 0.50060102
 0.50332871 0.49953768 0.5012945  0.50314378 0.49990754 0.50217291
 0.50379103 0.51377716 0.51622746 0.51373093 0.51719834 0.51826167
 0.51872399 0.51872399 0.51752196 0.52385576 0.52699954 0.52801664
 0.53171521 0.52718447 0.53222376 0.53416551 0.5358761  0.53194637
 0.53125289 0.53055941 0.53106796 0.53106796 0.52834027 0.52792418
 0.53000462 0.53240869 0.53250116 0.53051318 0.52935737 0.52473417
 0.52450301 0.51932501 0.5233472  0.52274619 0.52686084 0.5344429 ]",0.11894590846047155,"[0.49873546 0.50227618 0.5066262  0.5149216  0.51937279 0.51542742
 0.52281234 0.52493677 0.52463328 0.52463328 0.52655539 0.53060192
 0.52969145 0.53090541 0.52685888 0.52453212 0.51745068 0.50703085
 0.49924127 0.49519474 0.49782499 0.49711684 0.49590288 0.48791098
 0.49054122 0.49367729 0.492261   0.48831563 0.48902377 0.49135053
 0.4933738  0.48932726 0.48335862 0.48325746 0.48174001 0.48376328
 0.47779464 0.47738998 0.47910976 0.47799697 0.47536672 0.47344461
 0.47162367 0.4707132  0.45776429 0.4585736  0.45928174 0.45756196
 0.46423875 0.45594335 0.45614568 0.44865959 0.45594335 0.45837127
 0.44734446 0.44319676 0.43540718 0.43813859 0.43621649 0.43459788]",0.14111684370257965
4,2.7999999999999996e-05,0.07280532522013367,0.05602985281887293,0.026322802335480393,0.12214520601818353,0.13706450181583935,"[0.51085707 0.51149425 0.51198151 0.5128061  0.51547976 0.51607946
 0.51672914 0.51811594 0.523001   0.52716142 0.53117191 0.53430785
 0.53438281 0.53716892 0.53731884 0.54056722 0.54311594 0.54469015
 0.54591454 0.54803848 0.54897551 0.54696402 0.54798851 0.54835082
 0.55193653 0.55452274 0.55443528 0.55578461 0.55593453 0.55633433
 0.55844578 0.55834583 0.56194403 0.56029485 0.56253123 0.55947026
 0.56218141 0.5617941  0.563993   0.56093203 0.56218141 0.56238131
 0.5642054  0.56370565 0.56409295 0.56561719 0.56555472 0.5657921
 0.56610445 0.56744128 0.56684158 0.56751624 0.5678036  0.56684158
 0.56726637 0.56607946 0.56872814 0.56854073 0.56542979 0.5663918 ]","[0.49750347 0.50406842 0.51530282 0.5174295  0.51349977 0.50943135
 0.51007859 0.51211281 0.51077208 0.50901526 0.51118816 0.5174295
 0.51604253 0.51645862 0.51521036 0.51890892 0.51183541 0.51229773
 0.51192788 0.51141933 0.51271382 0.50716597 0.50707351 0.50157189
 0.51091077 0.51414702 0.51114193 0.51650485 0.51488673 0.52024965
 0.51997226 0.52075821 0.52431808 0.52404068 0.52339344 0.52496533
 0.5260749  0.52519649 0.52630606 0.52931114 0.52847896 0.53361073
 0.53018955 0.5309755  0.53305594 0.5285252  0.52584374 0.52547388
 0.52487286 0.52177531 0.51877023 0.52029589 0.52343967 0.51835414
 0.52371706 0.5295423  0.52764679 0.53000462 0.53180767 0.53656958]",0.2114257975034674,"[0.50318665 0.50601922 0.50257967 0.51421345 0.51654021 0.50854831
 0.50955994 0.50763784 0.5088518  0.50986343 0.50955994 0.51138088
 0.51219019 0.50935761 0.51401113 0.51937279 0.50703085 0.50075873
 0.4944866  0.48568538 0.48194234 0.48265048 0.48376328 0.47637835
 0.48022256 0.47121902 0.48163885 0.47981791 0.47577137 0.47162367
 0.47152251 0.47152251 0.47030855 0.46484573 0.47303996 0.47395043
 0.47152251 0.47425392 0.47465857 0.47212949 0.47020738 0.46292362
 0.46626201 0.47496206 0.46747597 0.46747597 0.47162367 0.47202833
 0.47830046 0.47688417 0.47303996 0.46818412 0.46697016 0.46585736
 0.47081437 0.46605969 0.46393526 0.47324229 0.46595852 0.46282246]",0.20097926150733433
5,1.9599999999999995e-05,0.09541428029053926,0.04923623409918352,0.02340182233301217,0.11531105393201967,0.13068648210157896,"[0.50912044 0.51410545 0.51411794 0.51431784 0.51421789 0.51431784
 0.51696652 0.51824088 0.52161419 0.52218891 0.52458771 0.52370065
 0.52468766 0.52612444 0.52495002 0.53053473 0.53355822 0.53190905
 0.53368316 0.53363318 0.53551974 0.53287106 0.53275862 0.53413293
 0.53721889 0.54114193 0.54017991 0.54216642 0.5421914  0.5426037
 0.54663918 0.5441904  0.54801349 0.54810095 0.55014993 0.55109945
 0.55177411 0.55492254 0.55371064 0.55248626 0.55394803 0.55594703
 0.55789605 0.55914543 0.56073213 0.56041979 0.56126937 0.56311844
 0.56190655 0.5652049  0.56188156 0.56378061 0.56348076 0.56244378
 0.56458021 0.56569215 0.56485507 0.56562969 0.56510495 0.56458021]","[0.50041609 0.50485437 0.51507166 0.51308368 0.51178918 0.50813685
 0.50804438 0.50647249 0.50910772 0.51063338 0.51160425 0.51391586
 0.51544152 0.51433195 0.51895515 0.5221914  0.51937124 0.51895515
 0.52214517 0.51955617 0.51812298 0.516135   0.51826167 0.51659732
 0.51955617 0.5233472  0.52473417 0.52482663 0.52621359 0.52616736
 0.52778548 0.52972723 0.53467406 0.53656958 0.53670828 0.53546001
 0.53740176 0.53791031 0.53698567 0.53989829 0.53698567 0.54054554
 0.53763292 0.5394822  0.53989829 0.54165511 0.54368932 0.53971336
 0.53546001 0.5381877  0.54128525 0.53814147 0.53754045 0.53707813
 0.53860379 0.53430421 0.53721683 0.54008322 0.54345816 0.54526121]",0.20567730004623208,"[0.49934244 0.49782499 0.4964087  0.50682853 0.51512393 0.51340415
 0.51158321 0.51016692 0.50753667 0.52149722 0.52028326 0.52675771
 0.52959029 0.53889732 0.53768336 0.54243804 0.54102175 0.54506829
 0.54243804 0.53990895 0.53474962 0.53292868 0.53353566 0.52878098
 0.52574608 0.52068791 0.5160344  0.51299949 0.51583207 0.51401113
 0.51431462 0.51674254 0.5088518  0.50672736 0.50429944 0.51249368
 0.50561457 0.50955994 0.50986343 0.50854831 0.50895296 0.51036925
 0.50986343 0.50844714 0.5047041  0.50935761 0.50520991 0.50713202
 0.50864947 0.51168437 0.51674254 0.5149216  0.52058675 0.51613556
 0.52665655 0.52615073 0.52635306 0.52594841 0.5303996  0.52149722]",0.23820333839150232
6,1.3719999999999996e-05,0.09020799145599986,0.03994899698796686,0.020080767390730215,0.10429068610340811,0.11482898643222249,"[0.50997001 0.511007   0.51168166 0.51211894 0.51278111 0.5117941
 0.51394303 0.5118066  0.5157921  0.51875312 0.52091454 0.51977761
 0.52248876 0.52166417 0.52256372 0.52398801 0.5283983  0.52903548
 0.53153423 0.53318341 0.53062219 0.53077211 0.53162169 0.5314093
 0.53588206 0.53370815 0.5356072  0.53713143 0.54121689 0.53953023
 0.54085457 0.53914293 0.54026737 0.54234133 0.5444028  0.54315342
 0.54444028 0.544003   0.54386557 0.54255372 0.54117941 0.54192904
 0.54550225 0.54606447 0.54449025 0.54215392 0.54391554 0.54561469
 0.54255372 0.54556472 0.5450025  0.54577711 0.54647676 0.54424038
 0.54597701 0.54567716 0.54710145 0.54630185 0.54591454 0.54601449]","[0.4949607  0.50453074 0.51289875 0.5112344  0.51447064 0.51174295
 0.51590384 0.51950994 0.52385576 0.52311604 0.52108183 0.5259362
 0.52528895 0.52602866 0.52676838 0.52371706 0.52436431 0.52265372
 0.52343967 0.51668978 0.5171521  0.51747573 0.51696718 0.51377716
 0.51511789 0.51826167 0.51414702 0.5148405  0.51983356 0.52163662
 0.52126676 0.5246417  0.52612113 0.5309755  0.53268608 0.53254739
 0.53194637 0.53217753 0.53629219 0.53777161 0.53578363 0.53277855
 0.5308368  0.53037448 0.53851133 0.53791031 0.53712436 0.53467406
 0.53476653 0.5308368  0.52898752 0.52834027 0.52487286 0.52376329
 0.52094313 0.52196024 0.52547388 0.52565881 0.5334258  0.53102173]",0.24838280166435503,"[0.50338897 0.51310066 0.5096611  0.53313101 0.53920081 0.5447648
 0.54314618 0.54294385 0.54486596 0.5549823  0.55336368 0.55397066
 0.55953465 0.55184623 0.55063227 0.54982296 0.5455741  0.54547294
 0.54375316 0.54375316 0.54587759 0.55042994 0.54941831 0.55660091
 0.55123925 0.54516945 0.54790086 0.54294385 0.54415781 0.54759737
 0.54688923 0.54537178 0.54284269 0.5466869  0.543652   0.54992413
 0.54699039 0.5516439  0.55407183 0.54941831 0.54456247 0.54830551
 0.54527061 0.54516945 0.54790086 0.55376834 0.54951947 0.55144158
 0.55346485 0.5610521  0.56863935 0.56378351 0.56560445 0.56975215
 0.56793121 0.57025797 0.57056146 0.5682347  0.56793121 0.56772888]",0.2819504299443601
7,9.603999999999996e-06,0.08278190157527232,0.03514148341915789,0.018959993476912643,0.10010883149183285,0.11059337234300214,"[0.50898301 0.51184408 0.5101949  0.51274363 0.5145927  0.51235632
 0.51273113 0.51148176 0.5163918  0.51590455 0.51729135 0.51712894
 0.52091454 0.51925287 0.52055222 0.52132684 0.52613693 0.52626187
 0.52761119 0.52962269 0.52842329 0.52677411 0.52628686 0.52501249
 0.5295977  0.53118441 0.53138431 0.530997   0.53349575 0.5338081
 0.53410795 0.53453273 0.53355822 0.53345827 0.53377061 0.53395802
 0.53495752 0.53698151 0.53735632 0.53565717 0.53621939 0.53490755
 0.5377936  0.53776862 0.53989255 0.5388056  0.53926787 0.53935532
 0.53969265 0.54284108 0.54092954 0.5422039  0.54361569 0.54354073
 0.54355322 0.54537731 0.54605197 0.54652674 0.54951274 0.54750125]","[0.50134073 0.50651872 0.51447064 0.51553398 0.51668978 0.52177531
 0.5220527  0.52542765 0.52894129 0.52630606 0.52695331 0.52787795
 0.52515025 0.52635229 0.52510402 0.52265372 0.51789182 0.51890892
 0.51641239 0.51215904 0.51012483 0.51040222 0.50859917 0.50679612
 0.50818308 0.50610264 0.50480814 0.50651872 0.50610264 0.50869163
 0.50328248 0.5073509  0.50915395 0.51169672 0.51382339 0.5112344
 0.50966251 0.51192788 0.51673601 0.51701341 0.51886269 0.51645862
 0.51326861 0.5147018  0.52131299 0.52006472 0.52057328 0.51738326
 0.5171521  0.51488673 0.51317614 0.51058715 0.510957   0.51054092
 0.50952381 0.51391586 0.51877023 0.51830791 0.52149792 0.52094313]",0.2568062875635691,"[0.50824482 0.51279717 0.51937279 0.53525544 0.54132524 0.54011128
 0.53788569 0.53859383 0.53687405 0.54931715 0.54982296 0.55397066
 0.55589277 0.55680324 0.55225089 0.55184623 0.55417299 0.5497218
 0.54385432 0.54739504 0.54891249 0.55144158 0.5519474  0.55356601
 0.55265554 0.5508346  0.55245321 0.54314618 0.54375316 0.54607992
 0.5466869  0.54790086 0.54982296 0.55053111 0.54790086 0.5497218
 0.54709155 0.54739504 0.55316136 0.54496712 0.53808801 0.54355083
 0.54638341 0.54486596 0.53859383 0.55002529 0.54709155 0.55235205
 0.54931715 0.55306019 0.55791603 0.55700556 0.56084977 0.56054628
 0.56034396 0.56074861 0.56327769 0.55912999 0.55832069 0.55649975]",0.30018614061709664
8,6.722799999999997e-06,0.07852009531714099,0.03496715548336619,0.019065039337768663,0.09977135259074245,0.11044528291242518,"[0.50929535 0.51024488 0.51136932 0.5141929  0.51255622 0.51209395
 0.51438031 0.51313093 0.51717891 0.5148051  0.51755372 0.5180035
 0.52008996 0.52037731 0.52032734 0.52198901 0.52423788 0.52758621
 0.52763618 0.52892304 0.52878561 0.52603698 0.52473763 0.52536232
 0.52804848 0.52943528 0.52976012 0.53093453 0.53127186 0.53123438
 0.53295852 0.53294603 0.53223388 0.53368316 0.53417041 0.53364568
 0.5328086  0.53323338 0.53409545 0.53332084 0.53222139 0.53154673
 0.53530735 0.53454523 0.5356072  0.53352074 0.53418291 0.53402049
 0.53495752 0.53685657 0.53770615 0.53769365 0.53836832 0.53976762
 0.53903048 0.54084208 0.54076712 0.53965517 0.54017991 0.53745627]","[0.49879797 0.50513176 0.51733703 0.52140546 0.52172908 0.52357836
 0.52445677 0.52713823 0.52584374 0.52570504 0.52353213 0.52108183
 0.51950994 0.52149792 0.5221914  0.51853907 0.52043458 0.51322238
 0.5134073  0.50804438 0.50545539 0.50522423 0.50628756 0.50309755
 0.50351364 0.50443828 0.4987055  0.50180305 0.50157189 0.50286639
 0.4988442  0.50161812 0.50369857 0.50920018 0.50943135 0.51049468
 0.50929265 0.50901526 0.51100324 0.5134073  0.51608877 0.51567268
 0.51035599 0.50984743 0.51645862 0.51359223 0.51331484 0.51151179
 0.50795192 0.50688858 0.50711974 0.5038835  0.50365233 0.50369857
 0.50582524 0.50758206 0.50901526 0.50827554 0.51035599 0.51058715]",0.25934257975034675,"[0.50349014 0.50075873 0.50045524 0.51390996 0.523217   0.52382398
 0.52372281 0.51896813 0.52089024 0.52483561 0.5292868  0.53657056
 0.53596358 0.5406171  0.54334851 0.54294385 0.54506829 0.53879616
 0.53333333 0.53100658 0.52766818 0.53211937 0.52584724 0.51896813
 0.52240769 0.52180071 0.52675771 0.51967628 0.51957511 0.52331816
 0.52878098 0.53141123 0.53191705 0.52574608 0.5240263  0.52392514
 0.52331816 0.52382398 0.52382398 0.51734952 0.51249368 0.51704603
 0.51755185 0.51471927 0.51461811 0.52422863 0.51856348 0.52604957
 0.52544259 0.52584724 0.52432979 0.52857865 0.5312089  0.53151239
 0.53151239 0.53131007 0.53525544 0.53515427 0.53070309 0.52331816]",0.2937723823975721
9,4.705959999999998e-06,0.07884527257293435,0.03414636812405779,0.01792023423977748,0.09544979638716708,0.10425017305806544,"[0.50809595 0.5073963  0.50757121 0.51108196 0.51138181 0.50949525
 0.50934533 0.50994503 0.51415542 0.51376812 0.51549225 0.51526737
 0.5183908  0.52026487 0.51985257 0.52166417 0.52475012 0.52473763
 0.52488756 0.52827336 0.52621189 0.52456272 0.52461269 0.52481259
 0.52802349 0.52858571 0.53030985 0.53172164 0.53372064 0.5336082
 0.53367066 0.5333958  0.53184658 0.53242129 0.53410795 0.53457021
 0.53367066 0.5326087  0.53112194 0.53289605 0.53215892 0.53122189
 0.53222139 0.53188406 0.53102199 0.53268366 0.53233383 0.53018491
 0.53132184 0.53234633 0.5350075  0.53409545 0.53596952 0.53287106
 0.53404548 0.53551974 0.53598201 0.53689405 0.53610695 0.53524488]","[0.49981507 0.5038835  0.51322238 0.5197411  0.52122053 0.52057328
 0.52496533 0.52441054 0.52367083 0.52098937 0.52320851 0.51904762
 0.51779935 0.52024965 0.52172908 0.51761442 0.51581137 0.51202034
 0.51100324 0.50915395 0.50383726 0.50309755 0.5023116  0.50023116
 0.5012945  0.49907536 0.4952381  0.49616274 0.49644013 0.50143319
 0.49782709 0.49546926 0.49939898 0.50175682 0.50184928 0.50499307
 0.5038835  0.50725844 0.5061951  0.50961627 0.51178918 0.51026352
 0.50762829 0.50818308 0.51668978 0.51197411 0.51516412 0.51114193
 0.51012483 0.50943135 0.5061951  0.50587147 0.50420712 0.50679612
 0.50711974 0.50966251 0.50656496 0.50938511 0.51007859 0.50827554]",0.2707249190938511,"[0.50450177 0.49934244 0.49914011 0.51057157 0.51947395 0.52048558
 0.52524026 0.52847749 0.52716237 0.5303996  0.53353566 0.53818918
 0.54051593 0.53869499 0.54122408 0.54537178 0.54223571 0.53788569
 0.53222054 0.53292868 0.52635306 0.53211937 0.53110774 0.52159838
 0.52159838 0.51825999 0.52180071 0.51573091 0.51664138 0.52524026
 0.52685888 0.52898331 0.52746586 0.52169954 0.52463328 0.52503794
 0.523217   0.51866464 0.52604957 0.52301467 0.52048558 0.53313101
 0.53444613 0.5312089  0.53222054 0.54051593 0.53525544 0.53717754
 0.53555893 0.53525544 0.53070309 0.5303996  0.53474962 0.53454729
 0.53191705 0.53292868 0.53434497 0.53596358 0.53161356 0.53009611]",0.30360950935761255
10,3.294171999999998e-06,0.0805211649178758,0.03377211653049442,0.017574070380916528,0.09361620901765623,0.10067643765106081,"[0.50867066 0.50884558 0.5077961  0.50949525 0.51188156 0.51026987
 0.51054473 0.51098201 0.513993   0.51478011 0.51369315 0.51344328
 0.51644178 0.5177911  0.51697901 0.51861569 0.52063968 0.52111444
 0.52088956 0.52433783 0.52287606 0.5204023  0.51909045 0.52110195
 0.52263868 0.52497501 0.52738631 0.52563718 0.52812344 0.52956022
 0.52881059 0.52997251 0.52977261 0.53090955 0.52878561 0.52749875
 0.52813593 0.52853573 0.52781109 0.52933533 0.53005997 0.52847326
 0.52962269 0.52804848 0.52832334 0.52804848 0.52823588 0.52918541
 0.52946027 0.53295852 0.5310095  0.53329585 0.53350825 0.53325837
 0.5323963  0.53485757 0.53389555 0.5357946  0.53223388 0.53368316]","[0.49634767 0.50106334 0.50938511 0.51553398 0.51641239 0.51775312
 0.52117429 0.5234859  0.52168285 0.51872399 0.51923255 0.51955617
 0.51830791 0.52094313 0.52112806 0.52098937 0.51391586 0.50943135
 0.50337494 0.50041609 0.4961165  0.49537679 0.49551549 0.49463708
 0.49352751 0.48982894 0.48687009 0.48728618 0.48733241 0.49126214
 0.48950532 0.48895053 0.49075358 0.49061489 0.49218678 0.49662506
 0.4925104  0.49879797 0.49616274 0.49852057 0.50383726 0.50078595
 0.49713361 0.49865927 0.50610264 0.50314378 0.50194175 0.4988442
 0.49879797 0.49583911 0.49084605 0.48932039 0.48858067 0.4900601
 0.49278779 0.49435969 0.49246417 0.49680999 0.50023116 0.49865927]",0.274081368469718,"[0.5005564  0.50268083 0.50156803 0.50632271 0.51623672 0.51886697
 0.51937279 0.52493677 0.52453212 0.52594841 0.52948912 0.53778452
 0.54041477 0.53990895 0.54395549 0.54506829 0.54264036 0.53940314
 0.5383915  0.53818918 0.53282752 0.52908447 0.523217   0.51138088
 0.50834598 0.50642387 0.50723318 0.50065756 0.50349014 0.50005058
 0.50389479 0.51168437 0.5107739  0.51117855 0.5138088  0.51573091
 0.51482044 0.51259484 0.51957511 0.51785534 0.52119373 0.52716237
 0.53050076 0.5251391  0.52847749 0.53808801 0.53515427 0.53576125
 0.52878098 0.52898331 0.52412747 0.52544259 0.52726353 0.51937279
 0.5179565  0.51745068 0.51836115 0.51461811 0.51178553 0.50753667]",0.3072736469398078
