Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0007999999999999986,0.025277817798702303,0.010751118128290408,0.03677407851312352,0.11462817224266751,2.2486204518795914,"[0.50989595 0.52117442 0.53456305 0.55009823 0.55581023 0.55813869
 0.56126755 0.56334134 0.56072182 0.56250455]","[0.51020138 0.50702173 0.51788553 0.51881293 0.52040276 0.52967674
 0.53033916 0.53391627 0.54583996 0.54080551]",0.0,"[0.50337838 0.49662162 0.49634009 0.50056306 0.49436937 0.4954955
 0.50365991 0.49943694 0.49746622 0.49521396]",0.0
2,0.0007999999999999986,0.03019471369377317,0.010237431930363527,0.031304709182537936,0.11097635062402543,2.390607392483514,"[0.50975042 0.51531689 0.52783235 0.53154333 0.53758277 0.54067525
 0.54460453 0.5411846  0.54373135 0.54507749]","[0.50768415 0.51126126 0.51497085 0.50768415 0.50596184 0.50953895
 0.51311606 0.51205617 0.51987281 0.5181505 ]",0.0,"[0.49690315 0.49577703 0.48845721 0.50957207 0.50337838 0.50900901
 0.5213964  0.51829955 0.51576577 0.50929054]",0.0
3,0.0003999999999999993,0.03143763556336489,0.00903482484893568,0.024371237844442603,0.09693667887812199,1.847302825259717,"[0.50665793 0.505712   0.51167867 0.5232482  0.521611   0.52870552
 0.53238012 0.53096122 0.52954231 0.53187077]","[0.50079491 0.50384208 0.50874404 0.50410705 0.50251722 0.50476948
 0.5018548  0.50039746 0.50914149 0.50688924]",0.0,"[0.4946509  0.49746622 0.4839527  0.49634009 0.49155405 0.4946509
 0.50422297 0.50365991 0.50028153 0.49521396]",0.0
4,0.00019999999999999966,0.027970223698167183,0.008274861979574583,0.023229059989674984,0.09154655501418206,1.8588092330227264,"[0.50374736 0.50822237 0.51240632 0.52299352 0.52361202 0.52339373
 0.52815979 0.52539475 0.52412137 0.52979699]","[0.49509804 0.4990726  0.50874404 0.51139375 0.50715421 0.51205617
 0.51073132 0.50304716 0.51020138 0.50993641]",0.0,"[0.51182432 0.51407658 0.50056306 0.51041667 0.50112613 0.50591216
 0.51351351 0.51266892 0.50872748 0.50788288]",0.0
5,9.999999999999983e-05,0.02575620515738407,0.007753942517091353,0.02135636167983774,0.08668208809492485,1.7952325628042838,"[0.49978171 0.50898639 0.51466201 0.52455796 0.52557666 0.52855999
 0.52714109 0.5283417  0.52204759 0.52768682]","[0.50278219 0.5        0.50569687 0.51258612 0.51351351 0.51298357
 0.51682565 0.51205617 0.51960784 0.51510334]",0.0,"[0.50957207 0.52167793 0.50760135 0.52027027 0.5160473  0.51632883
 0.52280405 0.51970721 0.51238739 0.51266892]",0.0
6,4.9999999999999914e-05,0.023858386005249893,0.007438638323553794,0.021140367428324536,0.0851614513199048,1.8414076330652533,"[0.50498436 0.5140799  0.51928254 0.52852361 0.52757768 0.5279415
 0.5313978  0.53561813 0.5248854  0.52954231]","[0.50251722 0.50344462 0.50476948 0.5082141  0.51020138 0.50834658
 0.51377848 0.51391097 0.5209327  0.52027027]",0.0,"[0.50900901 0.52505631 0.51801802 0.52956081 0.52730856 0.51998874
 0.52618243 0.52224099 0.51407658 0.51942568]",0.0
7,2.4999999999999957e-05,0.023209233836069373,0.007216606890828238,0.01999759428988169,0.08214672470971682,1.7996623111305394,"[0.50651241 0.51458925 0.51946445 0.53074292 0.53045187 0.52765044
 0.52939678 0.52848723 0.52659536 0.52819617]","[0.50158983 0.50052994 0.50238474 0.50715421 0.50596184 0.50503445
 0.51311606 0.51735559 0.52437732 0.5209327 ]",0.0,"[0.5053491  0.51942568 0.51041667 0.5213964  0.51858108 0.51576577
 0.51576577 0.50788288 0.50309685 0.50929054]",0.0
8,1.2499999999999979e-05,0.02282678251571628,0.007210577722174561,0.01961613242313481,0.0812333225855968,1.7767908068222773,"[0.5083679  0.51520774 0.52131994 0.52954231 0.53259841 0.53409008
 0.53332606 0.53325329 0.52717747 0.53190715]","[0.49655538 0.49297827 0.49655538 0.5        0.49801272 0.49523052
 0.50490196 0.51338103 0.51974033 0.51868045]",0.0,"[0.50365991 0.51379505 0.50900901 0.52083333 0.5160473  0.51013514
 0.50957207 0.50056306 0.49662162 0.50281532]",0.0
9,6.249999999999989e-06,0.02247407062025324,0.00717876958351799,0.0193445190850659,0.08062175970260996,1.7573628292666283,"[0.51335225 0.52048316 0.52266608 0.53172524 0.53521793 0.53157971
 0.53703704 0.54176672 0.53361711 0.53798297]","[0.49258082 0.49152093 0.49324324 0.49655538 0.49205087 0.49231585
 0.50145734 0.51059883 0.51510334 0.51550079]",0.0,"[0.50281532 0.51154279 0.50225225 0.51717342 0.51661036 0.5098536
 0.50619369 0.49577703 0.49577703 0.50084459]",0.0
10,3.1249999999999946e-06,0.022500549261597606,0.007165200094179355,0.01923395694387186,0.08041751658431416,1.754724239122081,"[0.51313396 0.51524412 0.52190206 0.53478134 0.53707342 0.53456305
 0.53376264 0.53605472 0.53292585 0.53663683]","[0.49152093 0.48979862 0.49337573 0.49629041 0.49112348 0.49165342
 0.5009274  0.50887652 0.51417594 0.51536831]",0.0,"[0.50337838 0.51210586 0.50394144 0.51829955 0.51689189 0.50900901
 0.5045045  0.49324324 0.49352477 0.49971847]",0.0
