Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,7.999999999999999e-05,0.005589715560099769,0.008587737081786931,0.019563093200434065,0.1223125430316758,0.045641197242759286,[0.51502209 0.52665685 0.53549337 0.53210604 0.54742268],[0.46666667 0.46613757 0.43756614 0.42592593 0.42698413],0.0,[0.53146067 0.52696629 0.51910112 0.50898876 0.51573034],0.0
2,7.999999999999999e-05,0.00912617378876194,0.002194595363965909,0.0023855494577094244,0.03691275183126212,0.013736383128349506,[0.50795287 0.50456554 0.5089838  0.51428571 0.52002946],[0.51904762 0.54232804 0.54179894 0.53333333 0.54761905],0.0,[0.50786517 0.52359551 0.51011236 0.54157303 0.5494382 ],0.0
3,7.999999999999999e-05,0.007036476833931862,0.002230110951397487,0.0024751303371212323,0.03741632296984631,0.013916755127769811,[0.51840943 0.52179676 0.51958763 0.52047128 0.52680412],[0.5047619  0.52698413 0.52592593 0.50529101 0.54708995],0.0,[0.52022472 0.50674157 0.51011236 0.51011236 0.51685393],0.0
4,7.999999999999999e-05,0.007385378183754364,0.0014464129339655065,0.001967313651192175,0.03327833175001341,0.012339165926696585,[0.50972018 0.51840943 0.52047128 0.52385862 0.52857143],[0.51428571 0.54021164 0.50740741 0.48730159 0.51005291],0.0,[0.5494382  0.52022472 0.50224719 0.53033708 0.51573034],0.0
5,5.599999999999999e-05,0.005789291458967186,0.0014288044367480979,0.0014078820712899278,0.02809814007327,0.010395129184452965,[0.50986745 0.51767305 0.5185567  0.51649485 0.51399116],[0.51164021 0.53227513 0.54391534 0.52380952 0.53650794],0.0,[0.53370787 0.50786517 0.52808989 0.4988764  0.47640449],0.0
6,3.919999999999999e-05,0.004797500499064269,0.0013975115566966687,0.0012595913717271445,0.026633115863506363,0.009816823383083656,[0.51443299 0.51826215 0.52739323 0.51929308 0.51620029],[0.51164021 0.54603175 0.53015873 0.51640212 0.53756614],0.0,[0.51685393 0.48988764 0.50224719 0.50337079 0.46292135],0.0
7,2.743999999999999e-05,0.0038869365019701505,0.0014434595714294446,0.001249847390378515,0.026586518672211144,0.009809203202301567,[0.50986745 0.51693667 0.52650957 0.51988218 0.52061856],[0.51375661 0.52962963 0.52592593 0.51534392 0.52962963],0.0,[0.49550562 0.5        0.4988764  0.48988764 0.45617978],0.0
8,1.9207999999999993e-05,0.003534622097091771,0.0013546864319211095,0.0012444408219948254,0.026532665963122058,0.009799357377074009,[0.51428571 0.52297496 0.52533137 0.52209131 0.5263623 ],[0.5015873  0.52962963 0.51640212 0.50899471 0.52010582],0.0,[0.50224719 0.5        0.49775281 0.47865169 0.44606742],0.0
9,1.3445599999999994e-05,0.003518018109103591,0.0013526105451010255,0.0011765951661819748,0.025658415206683376,0.0094759372668464,[0.51458027 0.5191458  0.52282769 0.51944035 0.52326951],[0.5015873  0.51798942 0.52063492 0.50582011 0.51746032],0.0,[0.50898876 0.49662921 0.49662921 0.4752809  0.4505618 ],0.0
10,9.411919999999997e-06,0.0035505821804446857,0.0013070616547501937,0.001183557875197881,0.02583595236428279,0.00954494955727742,[0.51634757 0.52120766 0.5269514  0.52783505 0.52724595],[0.5010582  0.52116402 0.51111111 0.50793651 0.52751323],0.0,[0.5247191  0.5011236  0.48988764 0.48764045 0.45280899],0.0
