Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,3.9999999999999996e-05,0.020350206817287452,0.04332096786867525,1.3479853425648332,0.947085056186381,0.15024876697452028,"[0.55718449 0.577449   0.61927819 0.65581708 0.66940148 0.68666218
 0.71118583 0.71611746 0.73593365 0.75601883 0.76570276 0.77942165
 0.78879175 0.7917059  0.80806994 0.81125308 0.82627214 0.82048868
 0.82210267 0.82627214 0.82515131 0.84254651 0.84546066 0.83380408
 0.85048195 0.85164761 0.86043488 0.86106254 0.86532168 0.86451468
 0.85263394 0.85460659 0.84357767 0.8622282  0.85151311 0.86343869
 0.85662408 0.8574759  0.86173504 0.84797131]","[0.42475138 0.38961326 0.38077348 0.34232044 0.33944751 0.32773481
 0.30519337 0.28618785 0.28       0.27005525 0.26298343 0.26298343
 0.25436464 0.25149171 0.24331492 0.23381215 0.22850829 0.22364641
 0.21922652 0.22055249 0.22099448 0.21458564 0.2041989  0.20243094
 0.19845304 0.2039779  0.19690608 0.29082873 0.35248619 0.33237569
 0.35668508 0.36287293 0.36022099 0.35447514 0.35314917 0.35823204
 0.35889503 0.35911602 0.37038674 0.39425414]",0.005834254143646408,"[0.56648649 0.54918919 0.57405405 0.62486486 0.61081081 0.6
 0.59891892 0.57837838 0.57405405 0.53189189 0.52108108 0.56864865
 0.54378378 0.56540541 0.48324324 0.49945946 0.49513514 0.48864865
 0.49081081 0.51783784 0.50162162 0.42810811 0.49189189 0.48324324
 0.46054054 0.48216216 0.48972973 0.53189189 0.59783784 0.57513514
 0.66594595 0.68324324 0.68648649 0.69405405 0.71135135 0.75891892
 0.77621622 0.75891892 0.69837838 0.68216216]",0.4811171171171171
2,3.9999999999999996e-05,0.02125763292810866,0.04020731539238949,1.2286013493921546,0.8893189156253035,0.14120603966531833,"[0.54368976 0.5604573  0.58099081 0.59722035 0.61497422 0.64317418
 0.66133154 0.68069939 0.70477471 0.73194351 0.75332885 0.76668908
 0.77099305 0.7914369  0.79506837 0.80802511 0.80300381 0.80340731
 0.80681462 0.81694687 0.82017485 0.81569155 0.82116117 0.83003811
 0.83129343 0.8396772  0.84178435 0.83420758 0.8394082  0.82331316
 0.82819996 0.82528581 0.82492715 0.81972652 0.8218785  0.81891952
 0.81685721 0.80596279 0.80919076 0.81201524]","[0.42828729 0.3918232  0.38099448 0.34254144 0.33966851 0.32751381
 0.30563536 0.28883978 0.28066298 0.27093923 0.26364641 0.26453039
 0.25458564 0.25171271 0.2441989  0.23425414 0.22872928 0.2238674
 0.21944751 0.2201105  0.22099448 0.21480663 0.20530387 0.24132597
 0.28375691 0.3478453  0.35226519 0.36132597 0.33812155 0.34585635
 0.34320442 0.34585635 0.34872928 0.35447514 0.37436464 0.37171271
 0.36375691 0.38651934 0.34674033 0.34055249]",0.01930018416206262,"[0.56540541 0.54594595 0.5827027  0.63783784 0.62918919 0.60648649
 0.58702703 0.58162162 0.57945946 0.57189189 0.56       0.58054054
 0.57945946 0.56432432 0.56216216 0.53081081 0.4972973  0.51243243
 0.52432432 0.46918919 0.4627027  0.48       0.49837838 0.49405405
 0.50054054 0.55027027 0.58918919 0.59243243 0.66918919 0.69405405
 0.73945946 0.77081081 0.75027027 0.72972973 0.68432432 0.69081081
 0.71135135 0.67783784 0.65513514 0.64108108]",0.47538738738738734
3,1.9999999999999998e-05,0.022708851279773797,0.049993592062713324,1.512307819197191,1.027898863731827,0.16259458349883885,"[0.54696256 0.56794441 0.57610401 0.60860794 0.62976911 0.65137861
 0.66052455 0.68217888 0.68697601 0.73032952 0.73898229 0.74364492
 0.75601883 0.76314728 0.7684824  0.76090563 0.76552343 0.7726967
 0.7914369  0.78753643 0.80390047 0.81914369 0.82515131 0.8486438
 0.8444295  0.85200628 0.84967496 0.84613315 0.84223268 0.8404842
 0.83102443 0.82425465 0.81824703 0.82389599 0.82098184 0.8135844
 0.81040126 0.80385564 0.80161399 0.79278189]","[0.42475138 0.38961326 0.38099448 0.34254144 0.33966851 0.32773481
 0.30563536 0.28640884 0.28044199 0.27049724 0.26320442 0.26298343
 0.25436464 0.25104972 0.24353591 0.23403315 0.22872928 0.2238674
 0.21944751 0.2201105  0.22099448 0.21480663 0.2039779  0.20044199
 0.19845304 0.20066298 0.1960221  0.19292818 0.18961326 0.19093923
 0.20176796 0.20839779 0.20928177 0.20552486 0.19646409 0.20287293
 0.20906077 0.18983425 0.1880663  0.18629834]",0.0003241252302025783,"[0.57189189 0.55891892 0.59567568 0.62702703 0.61297297 0.58918919
 0.57945946 0.56972973 0.57513514 0.56756757 0.55243243 0.56648649
 0.57621622 0.56432432 0.53405405 0.51243243 0.51783784 0.52216216
 0.52648649 0.49621622 0.4972973  0.52108108 0.48972973 0.47459459
 0.46054054 0.47567568 0.48324324 0.50810811 0.52108108 0.49297297
 0.53081081 0.55243243 0.55567568 0.54162162 0.53405405 0.55135135
 0.55675676 0.5427027  0.53621622 0.52864865]",0.48118918918918924
4,9.999999999999999e-06,0.024564080409790398,0.043565879631284124,1.7180656249351922,1.1193958684555074,0.17684795203623851,"[0.54472091 0.55382201 0.58125981 0.60130016 0.6260928  0.64761264
 0.67182246 0.70109841 0.71266532 0.71786595 0.73624748 0.75010087
 0.74368976 0.74575207 0.74597624 0.76247478 0.76099529 0.77726967
 0.77641784 0.77489352 0.79869984 0.80197265 0.81690204 0.81448106
 0.83496974 0.83510424 0.82972428 0.83093477 0.82914145 0.8129119
 0.80708361 0.81492939 0.81062542 0.80582829 0.80206232 0.80515579
 0.79968617 0.78740193 0.79484421 0.78148397]","[0.42917127 0.39116022 0.38541436 0.34276243 0.34165746 0.3279558
 0.30563536 0.28640884 0.28066298 0.27027624 0.26364641 0.26276243
 0.25436464 0.25104972 0.24353591 0.23403315 0.22850829 0.22364641
 0.21922652 0.2198895  0.22077348 0.21458564 0.20353591 0.19977901
 0.19779006 0.19955801 0.19403315 0.19027624 0.18585635 0.18651934
 0.19116022 0.19403315 0.19314917 0.19513812 0.19359116 0.19381215
 0.19403315 0.18585635 0.18298343 0.18276243]",0.0024825046040515657,"[0.57081081 0.54162162 0.58162162 0.61837838 0.61297297 0.60648649
 0.57945946 0.56432432 0.56108108 0.57297297 0.54162162 0.57405405
 0.59783784 0.59243243 0.55135135 0.53837838 0.53837838 0.55891892
 0.54054054 0.52972973 0.55027027 0.52540541 0.53297297 0.48324324
 0.49405405 0.5027027  0.53081081 0.51675676 0.54918919 0.5372973
 0.55243243 0.54486486 0.59351351 0.56864865 0.53297297 0.56972973
 0.57081081 0.55243243 0.53405405 0.52108108]",0.4694774774774774
5,4.9999999999999996e-06,0.028547882783580846,0.03438597969157067,0.7298258854251211,0.6277791363922931,0.10056196654946106,"[0.52329074 0.54902488 0.57215871 0.5688859  0.5907644  0.6130464
 0.61775387 0.63429724 0.6449675  0.64936113 0.66339386 0.66218337
 0.67442278 0.67881641 0.6845102  0.69047299 0.69930509 0.72073526
 0.71463797 0.71566913 0.71840395 0.72916386 0.74050661 0.73028469
 0.74512441 0.74064111 0.73866846 0.73875813 0.73221251 0.7239184
 0.72095943 0.7158933  0.73709931 0.733961   0.73566465 0.73292984
 0.72943286 0.73588881 0.73279534 0.73606815]","[0.44353591 0.4        0.4041989  0.35535912 0.35314917 0.33834254
 0.30674033 0.27779006 0.2841989  0.27558011 0.27027624 0.25502762
 0.25325967 0.23558011 0.24176796 0.20331492 0.20861878 0.21060773
 0.19248619 0.23690608 0.20972376 0.2121547  0.21635359 0.16839779
 0.19005525 0.2119337  0.23535912 0.17259669 0.20066298 0.19403315
 0.21635359 0.17812155 0.19337017 0.21878453 0.18607735 0.22430939
 0.18430939 0.28331492 0.25392265 0.22254144]",0.07653038674033151,"[0.55351351 0.49837838 0.50810811 0.54702703 0.54810811 0.52
 0.52756757 0.55243243 0.52       0.56648649 0.57945946 0.50918919
 0.59567568 0.55783784 0.52756757 0.59243243 0.6227027  0.60648649
 0.66378378 0.62810811 0.62378378 0.61945946 0.53837838 0.53513514
 0.59567568 0.65837838 0.65837838 0.68324324 0.65945946 0.68216216
 0.79567568 0.71135135 0.76432432 0.69297297 0.80216216 0.78918919
 0.76       0.87459459 0.8172973  0.85837838]",0.388
6,2.4999999999999998e-06,0.04274767879979145,0.027111224238634914,0.6889757532070684,0.600273736191718,0.09683282542870848,"[0.50585071 0.51297915 0.51244116 0.51279982 0.52647388 0.53082269
 0.5292087  0.56305761 0.54297243 0.55911231 0.54019278 0.54516924
 0.57471419 0.56798924 0.58394979 0.57144138 0.58749159 0.58170814
 0.57650751 0.56534409 0.56619592 0.57579018 0.58448778 0.57897332
 0.58690876 0.57471419 0.59829635 0.57937682 0.5690204  0.61802286
 0.60345214 0.58341179 0.59358888 0.58982291 0.5951132  0.58632594
 0.58865725 0.61461556 0.60493163 0.62017485]","[0.44287293 0.37348066 0.37259669 0.34254144 0.33679558 0.32773481
 0.27889503 0.30121547 0.27359116 0.23248619 0.28928177 0.24265193
 0.2358011  0.26320442 0.23933702 0.21723757 0.21657459 0.24176796
 0.22563536 0.2521547  0.33237569 0.30674033 0.38298343 0.2998895
 0.4        0.26983425 0.40243094 0.28309392 0.3719337  0.4441989
 0.36176796 0.31977901 0.33900552 0.37657459 0.34165746 0.36132597
 0.37679558 0.36574586 0.3560221  0.36110497]",0.07706077348066298,"[0.56756757 0.52972973 0.56324324 0.5827027  0.54810811 0.62486486
 0.59027027 0.52108108 0.55891892 0.55675676 0.58054054 0.52
 0.64       0.50594595 0.52648649 0.63243243 0.56540541 0.59567568
 0.66594595 0.61297297 0.60972973 0.65513514 0.64       0.64540541
 0.74918919 0.68972973 0.82054054 0.78594595 0.79351351 0.91891892
 0.89081081 0.86594595 0.81405405 0.94378378 0.87567568 0.9827027
 0.93297297 0.99567568 0.90918919 0.99027027]",0.40068468468468466
7,1.2499999999999999e-06,0.049447449385382675,0.021539371047873755,0.6874189585745746,0.5997001782141996,0.09657456526913531,"[0.49154898 0.49141448 0.50042591 0.50186057 0.49235597 0.51176866
 0.51096167 0.52315624 0.51952477 0.50867518 0.52351491 0.52360457
 0.52266308 0.52647388 0.49464246 0.51826945 0.49975342 0.52042143
 0.51293432 0.5070612  0.50948218 0.51396548 0.54270343 0.52091459
 0.53965479 0.5195696  0.55099753 0.5327505  0.55301502 0.57318987
 0.56431293 0.53476799 0.5683479  0.57233804 0.555705   0.58408429
 0.599731   0.600269   0.60004483 0.61125308]","[0.44375691 0.40751381 0.42430939 0.38872928 0.33966851 0.36441989
 0.37171271 0.35160221 0.32994475 0.29237569 0.31314917 0.3040884
 0.29812155 0.34099448 0.32441989 0.30917127 0.29524862 0.42651934
 0.38696133 0.44       0.44044199 0.44353591 0.49149171 0.49546961
 0.48110497 0.46342541 0.50077348 0.4881768  0.50430939 0.51425414
 0.50121547 0.49392265 0.50585635 0.50651934 0.46276243 0.46674033
 0.47845304 0.45723757 0.50563536 0.4439779 ]",0.116353591160221,"[0.51675676 0.47675676 0.54810811 0.56108108 0.51783784 0.54054054
 0.56216216 0.51027027 0.57081081 0.53513514 0.58918919 0.51567568
 0.62918919 0.52108108 0.59351351 0.66486486 0.58378378 0.61513514
 0.72108108 0.73621622 0.68972973 0.72756757 0.73297297 0.76864865
 0.78054054 0.75567568 0.86594595 0.85513514 0.85405405 0.93189189
 0.93297297 0.94594595 0.95027027 0.98486486 0.96432432 0.99459459
 0.98918919 0.99675676 0.94594595 0.99243243]",0.3247927927927928
8,6.249999999999999e-07,0.06164352705525149,0.018588106893002988,0.5957191144888038,0.5551108447310016,0.08950483783235702,"[0.48684152 0.47496077 0.47675409 0.48173055 0.48522753 0.47841291
 0.49047299 0.49423896 0.49921542 0.47343645 0.48782784 0.48132706
 0.47971307 0.49455279 0.47379511 0.48630352 0.47939924 0.49405963
 0.49683927 0.49024882 0.50925801 0.52118359 0.53920646 0.52539789
 0.53884779 0.52427707 0.55238736 0.53588881 0.56225062 0.56709258
 0.5729657  0.55843981 0.5729657  0.59264739 0.57587985 0.60416947
 0.60555929 0.61259807 0.61049092 0.6226855 ]","[0.42519337 0.39359116 0.38585635 0.36950276 0.34917127 0.35977901
 0.35359116 0.32287293 0.32287293 0.31314917 0.32530387 0.31491713
 0.29016575 0.33325967 0.2921547  0.29325967 0.29723757 0.30254144
 0.30828729 0.32662983 0.29657459 0.30541436 0.33104972 0.28309392
 0.35447514 0.32176796 0.38276243 0.3398895  0.31624309 0.40662983
 0.36287293 0.34651934 0.35558011 0.37657459 0.35955801 0.38674033
 0.37745856 0.38453039 0.37745856 0.37701657]",0.09269981583793739,"[0.51675676 0.47891892 0.51459459 0.53621622 0.51891892 0.54918919
 0.5372973  0.52972973 0.58486486 0.52108108 0.55675676 0.53405405
 0.65621622 0.56       0.57513514 0.66594595 0.59675676 0.62918919
 0.77189189 0.74810811 0.67135135 0.72       0.73837838 0.73513514
 0.85189189 0.74810811 0.88756757 0.89081081 0.81513514 0.9427027
 0.95135135 0.93297297 0.89081081 0.97405405 0.9372973  1.
 0.98594595 0.99567568 0.92       0.99459459]",0.3923243243243243
9,3.1249999999999997e-07,0.061819455685121975,0.020486733189003695,0.6394582672785577,0.5699362174170451,0.09142466799268571,"[0.48370321 0.4759471  0.47747142 0.47123963 0.48818651 0.48442053
 0.48267205 0.49787043 0.49760143 0.49226631 0.48764851 0.48495853
 0.50051558 0.50428155 0.49459762 0.48007173 0.49141448 0.49195248
 0.49813943 0.49015916 0.49961892 0.51835911 0.53364716 0.52849137
 0.55059404 0.53158485 0.57157588 0.55265636 0.55745349 0.58480161
 0.57901816 0.57538668 0.58094598 0.59188523 0.58717776 0.60959426
 0.60815961 0.62340282 0.62963461 0.63474557]","[0.42541436 0.37944751 0.37856354 0.38055249 0.34762431 0.36198895
 0.3798895  0.33082873 0.33127072 0.31071823 0.32353591 0.30939227
 0.3080663  0.33944751 0.30364641 0.32265193 0.31756906 0.35558011
 0.30696133 0.37812155 0.35447514 0.28596685 0.34939227 0.3120442
 0.35116022 0.31646409 0.34961326 0.36994475 0.29436464 0.3838674
 0.37237569 0.37856354 0.37701657 0.38850829 0.40883978 0.40508287
 0.42740331 0.4278453  0.40265193 0.41657459]",0.11907182320441989,"[0.51243243 0.48324324 0.54378378 0.58486486 0.51891892 0.59783784
 0.59891892 0.52216216 0.59027027 0.54594595 0.59351351 0.53081081
 0.65189189 0.54378378 0.57405405 0.65945946 0.60432432 0.63675676
 0.73945946 0.70918919 0.65837838 0.6627027  0.67459459 0.68
 0.73837838 0.69837838 0.78162162 0.77621622 0.76216216 0.86378378
 0.86378378 0.80324324 0.84756757 0.91459459 0.88648649 0.96
 0.88972973 0.96648649 0.87351351 0.9427027 ]",0.41866666666666674
10,1.5624999999999999e-07,0.05716632253321181,0.018855960324809358,0.5774220094506665,0.5396238351395117,0.08667452787435022,"[0.48854517 0.47679892 0.48065456 0.47455727 0.48921766 0.49719794
 0.50804752 0.50813719 0.51365165 0.50186057 0.49177315 0.49791527
 0.51898677 0.51817978 0.5115445  0.50123291 0.52562206 0.50930285
 0.49589778 0.49383546 0.50867518 0.51898677 0.54131361 0.54064111
 0.56323694 0.53212284 0.57964582 0.57242771 0.5739072  0.58986774
 0.59004707 0.57816633 0.58462228 0.60062766 0.58264963 0.60757678
 0.61412239 0.62613764 0.61869536 0.62869312]","[0.44       0.39049724 0.39779006 0.40464088 0.3721547  0.36994475
 0.39668508 0.34519337 0.34209945 0.32618785 0.33790055 0.33303867
 0.32176796 0.34099448 0.33060773 0.34254144 0.33767956 0.36022099
 0.31668508 0.39314917 0.35734807 0.3158011  0.35955801 0.33325967
 0.37790055 0.33723757 0.38629834 0.37812155 0.31071823 0.42475138
 0.38607735 0.38850829 0.39005525 0.41171271 0.41325967 0.42298343
 0.43977901 0.44331492 0.43226519 0.4318232 ]",0.12883977900552487,"[0.51675676 0.49621622 0.5427027  0.57945946 0.51675676 0.60864865
 0.59783784 0.52648649 0.59567568 0.54594595 0.57945946 0.53081081
 0.67351351 0.55567568 0.56432432 0.66594595 0.60648649 0.64756757
 0.73513514 0.74486486 0.67027027 0.67567568 0.70594595 0.67891892
 0.79351351 0.71027027 0.81837838 0.81837838 0.79567568 0.87351351
 0.88972973 0.86486486 0.86054054 0.94486486 0.89513514 0.98378378
 0.90702703 0.97621622 0.88       0.96648649]",0.4283603603603604
