Epoch,LearningRate,TrainLoss,ValiLoss,TestLoss,MAELoss,MAPELoss,TrainCG,TestCG,TestCGI,ValiCG,ValiCGI
1,0.0007999999999999986,nan,nan,nan,nan,nan,[0.57863298 0.60428907 0.60987074 0.62563651 0.62279671 0.62945554],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
2,0.0007999999999999986,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
3,0.0003999999999999993,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
4,0.00019999999999999966,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
5,9.999999999999983e-05,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
6,4.9999999999999914e-05,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
7,2.4999999999999957e-05,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
8,1.2499999999999979e-05,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
9,6.249999999999989e-06,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
10,3.1249999999999946e-06,nan,nan,nan,nan,nan,[0.01850764 0.01645123 0.01556992 0.01605954 0.01400313 0.01361144],[0.01628788 0.01742424 0.01704545 0.01742424 0.01704545 0.01439394],0.0,[0.01714801 0.00631769 0.00541516 0.01083032 0.01083032 0.0099278 ],0.0
